LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_QUOTE_2,"I believe that people would be alive today if there were a death penalty.","Věřím, že tito lidé by dnes žili, kdyby existoval trest smrti","Ich bin überzeugt, dass Menschen heute am Leben wären, wenn es die Todesstrafe gäbe.","Jestem przekonana, że gdyby istniała kara śmierci, wielu ludzi żyłoby do dziś.","Думаю, многие жизни удалось бы спасти, если бы мы разрешили смертную казнь.","Je pense que des gens seraient en vie aujourd'hui s'il y avait la peine de mort.","Creo que, si hubiera pena de muerte, esa gente estaría viva.","Credo che della gente sarebbe ancora viva se ci fosse stata la pena di morte."
STR_AUTHOR_2,"Nancy Reagan","Nancy Reaganová","Nancy Reagan","Nancy Reagan","Нэнси Рейган","Nancy Reagan","Nancy Reagan","Nancy Reagan"
STR_QUOTE_3,"The quickest way to end a war is to lose it.","Nejrychlejším způsobem jak ukončit válku je prohrát.","Am schnellsten beendet man einen Krieg, indem man ihn verliert.","Najszybszym sposobem na zakończenie wojny jest jej przegranie.","Самый быстрый способ окончить войну - проиграть ее.","Le moyen le plus rapide de mettre fin à une guerre est de la perdre.","La manera más rápida de acabar una guerra es perderla.","Il modo più veloce di finire una guerra è perderla."
STR_AUTHOR_3,"George Orwell","George Orwell","George Orwell","George Orwell","Джордж Оруэлл","George Orwell","George Orwell","George Orwell"
STR_QUOTE_4,"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.","Nevím, jaké zbraně budou používat ve 3. světové válce, ale vím, že ve 4. světové válce to budou klacky a kameny.","Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Stöcken und Steinen kämpfen.","Nie wiem, jaka broń będzie używana podczas III wojny światowej, ale IV z pewnością będzie prowadzona za pomocą maczug i kamieni.","Не знаю, каким оружием будут сражаться в третьей мировой войне, но в четвертой в ход пойдут камни и дубинки.","J'ignore avec quelles armes on fera la Troisième Guerre mondiale, mais la quatrième emploiera des massues et des pierres.","No sé con qué armas se luchará en la tercera Guerra Mundial, pero sí sé con cuáles lo harán en la cuarta Guerra Mundial: palos y piedras","Non so con quali armi verrà combattuta la Terza Guerra Mondiale, ma la Quarta verrà combattuta con clave e pietre."
STR_AUTHOR_4,"Albert Einstein","Albert Einstein","Albert Einstein","Albert Einstein","Альберт Эйнштейн","Albert Einstein","Albert Einstein","Albert Einstein"
STR_QUOTE_5,"War is much too serious a matter to be entrusted to the military.","Válka je příliš vážnou záležitostí na to, abyste ji svěřili vojákům.","Der Krieg ist viel zu wichtig, um ihn dem Militär anzuvertrauen.","Wojna to sprawa zbyt poważna, by powierzać ją wojsku.","Война - слишком серьезное дело, чтобы доверять его военным.","La guerre est une chose trop grave pour être confiée à des militaires.","La guerra es un asunto demasiado grave como para confiárselo al ejército.","La guerra è una cosa troppo seria per lasciarla in mano ai militari."
STR_AUTHOR_5,"Georges Clemenceau","Georges Clemenceau","Georges Clemenceau","Georges Clemenceau","Жорж Клемансо","Georges Clémenceau","Georges Clemenceau","Georges Clemenceau"
STR_QUOTE_6,"War is a series of disasters which result in a winner.","Válka je sérií katastrof, která končí vítězstvím.","Der Krieg ist eine Serie von Katastrophen, aus der ein Sieger hervorgeht.","Wojna to seria porażek, po których wyłaniany jest zwycięzca.","Война - это серия катастроф, ведущих к победе.","La guerre est une série de désastres qui aboutit à désigner un vainqueur.","La guerra es una serie de desastres que producen un ganador.","La guerra è una serie di disastri che produce un vincitore."
STR_AUTHOR_6,"Georges Clemenceau","Georges Clemenceau","Georges Clemenceau","Georges Clemenceau","Жорж Клемансо","Georges Clémenceau","Georges Clemenceau","Georges Clemenceau"
STR_QUOTE_7,"War is not nice.","Válka není nic pěkného.","Krieg ist nicht nett.","Wojna nie jest ładna.","В войне нет ничего хорошего.","La guerre est désagréable.","La guerra no es algo bonito.","La guerra non è una bella cosa."
STR_AUTHOR_7,"Barbara Bush","Barbara Bushová","Barbara Bush","Barbara Bush","Барбара Буш","Barbara Bush","Barbara Bush","Barbara Bush"
STR_QUOTE_8,"War is a game that is played with a smile. If you can't smile, grin. If you can't grin, keep out of the way till you can.","Válka se hraje s úsměvem. Když se nemůžete smát, šklebte se. A když se nemůžete šklebit, držte se stranou, dokud vám to zase nepůjde.","Krieg ist ein Spiel, bei dem man lächelt. Wenn man nicht lächeln kann, sollte man grinsen. Wenn man nicht grinsen kann, sollte man sich bedeckt halten bis man es kann.","Wojna to gra, przy której trzeba się uśmiechać. Jeśli nie możesz się uśmiechać, wyszczerz zęby. Jeśli nie możesz się szczerzyć, trzymaj się od wojny jak najdalej.","Война - это игра, в которую играют с улыбкой... Если вы не можете улыбаться, показывайте оскал. Если вы и этого не можете, вам лучше вообще не соваться в это дело.","La guerre est un jeu qui se pratique avec le sourire. Si vous ne pouvez pas sourire, grimacez. Si vous ne pouvez pas grimacer, restez à l'écart en attendant d'y arriver.","La guerra es un juego que se juega riendo. Si no puedes reír, sonríe. Y si no puedes sonreír, apártate mientras puedas.","La guerra è un gioco a cui si partecipa con un sorriso. Se non puoi sorridere, sogghigna. Se non puoi sogghignare, levati di mezzo prima che sia troppo tardi."
STR_AUTHOR_8,"Winston Churchill","Winston Churchill","Winston Churchill","Winston Churchill","Уинстон Черчилль","Winston Churchill","Winston Churchill","Winston Churchill"
STR_QUOTE_9,"To be prepared for war is one of the most effective means of preserving peace.","Být připraven na válku je jeden z nejlepších způsobů jak jí zabránit.","Auf den Krieg vorbereitet zu sein ist einer der effektivsten Wege den Frieden zu wahren.","Najlepszym sposobem na utrzymanie pokoju jest gotowość do wojny.","Быть готовым к войне – лучший способ сохранить мир.","Être prêt à faire la guerre est le moyen le plus efficace de préserver la paix.","Estar preparado para la guerra es uno de los métodos más eficaces de preservar la paz.","Essere pronti per la guerra è uno dei modi più efficaci per mantenere la pace."
STR_AUTHOR_9,"George Washington","George Washington","George Washington","Jerzy Waszyngton","Джордж Вашингтон","George Washington","George Washington","George Washington"
STR_QUOTE_10,"Stay out of the road, if you want to grow old.","Chcete-li se dožít vysokého věku, držte se stranou.","Blockier' nicht den Weg, wenn du alt werden willst.","Jeśli chcesz dożyć starości, trzymaj się z dala od drogi.","В армии все точь-в-точь как у бойскаутов, но скауты находятся под присмотром взрослых.","Restez à l'écart si vous voulez devenir vieux.","Si quieres llegar a viejo, aléjate de la carretera.","Stai lontano dalla strada, se ci tieni ad invecchiare."
STR_AUTHOR_10,"Pink Floyd","Pink Floyd","Pink Floyd","Pink Floyd","Блейк Кларк","Pink Floyd","Pink Floyd","Pink Floyd"
STR_QUOTE_11,"Death is a very dull, dreary affair, and my advice to you is to have nothing whatsoever to do with it.","Smrt je velice nepříjemná záležitost a já vám radím nemít s ní nic společného.","Der Tod ist eine ziemlich trübselige Angelegenheit, und ich rate Ihnen, tunlichst nichts damit zu tun zu haben.","Śmierć to ponura i straszna rzecz. Radzę wam, nie miejcie z nią nic wspólnego.","В войне не бывает утешительного приза для проигравших.","La mort est une chose ennuyeuse et sans intérêt, et je vous conseille de ne pas la côtoyer.","La muerte es un asunto aburrido y pesado, te aconsejo no tener nada que ver con ella.","La morte è una faccenda molto triste e noiosa ed il mio consiglio per voi è di non averci niente a che fare."
STR_AUTHOR_11,"W. Somerset Maugham","W. Somerset Maugham","W. Somerset Maugham","W. Somerset Maugham","Омар Брэдли","W. Somerset Maugam","W. Somerset Maugham","W. Somerset Maugham"
STR_QUOTE_12,"Many that live deserve death.  And some that die deserve life.","Mnozí z těch, kdo žijí, zasluhují smrt.  A někteří umírající zasluhují život.","Viele, die leben, verdienen den Tod. Und mache, die sterben, verdienen zu leben.","Wielu żyjących zasługuje na śmierć. A niektórzy z tych, którzy umierają, zasługują na życie.","Многие из живущих заслуживают смерти, а многие из умерших - жизни.","Nombre de vivants méritent la mort. Et certains morts méritent de vivre.","Muchos que viven merecen morir, y algunos de los que mueren merecen la vida.","Molti tra i vivi meritano di morire. Ed alcuni che sono morti avrebbero meritato di vivere."
STR_AUTHOR_12,"J.R.R.Tolkien","J.R.R.Tolkien","J.R.R.Tolkien","J.R.R. Tolkien","Дж. Толкиен","J.R.R. Tolkien","J.R.R.Tolkien","J. R. R. Tolkien"
STR_QUOTE_13,"And lastly there is the oldest and deepest desire, the Great Escape: the Escape from Death.","A nakonec je tu touha nejstarší ze všech, touha po velkém úniku: úniku před smrtí.","Und schießlich gibt es das älteste und tiefste Verlangen, die große Flucht: Die Flucht vor dem Tod.","Istnieje najstarsze i najgłębsze pragnienie, Wielka Ucieczka: ucieczka przed śmiercią.","По-настоящему война никому не нужна, но многим нужна ненависть.","Et, enfin, il y a le désir le plus ancien et le plus profond, la Grande Évasion : échapper à la mort.","Y, por último, está el deseo más antiguo y arraigado: la Gran Huída: la huída de la muerte.","Ed infine c’è il desiderio più vecchio e profondo, la grande fuga: la fuga dalla morte."
STR_AUTHOR_13,"J.R.R.Tolkien","J.R.R.Tolkien","J.R.R.Tolkien","J.R.R. Tolkien","Макс Фриш","J.R.R. Tolkien","J.R.R.Tolkien","J. R. R. Tolkien"
STR_QUOTE_14,"As to you, Life, I reckon you are the leavings of many deaths; No doubt I have died, myself ten thousand times before.","A ty, živote, zanecháváš za sebou mnohou smrt; není pochyb, že jsem zemřel již tisíckrát.","Und was dich angeht, Leben, so sehe ich dich als Überbleibsel vieler Tode. Sicher bin auch ich selbst schon zehntausend Mal gestorben.","A ciebie, o Życie, widzę jako pozostałość wielu zgonów; Bez wątpienia umierałem już wcześniej dziesięć tysięcy razy.","А ты, Жизнь, я уверен, ты - остатки многих смертей. (Не сомневаюсь, что прежде я и сам умирал десять тысяч  раз.)","Quant à toi, Vie, je pense que tu es les adieux de nombreuses morts ; nul doute que je sois mort moi-même dix mille fois déjà.","Y tú, vida, creo que eres la ausencia de muchas muertes; estoy seguro de que ya he muerto diez mil veces en el pasado.","Quanto a te, o Vita, credo che tu sia il residuo di molte morti. Non c’è dubbio che io stesso sia già morto diecimila volte."
STR_AUTHOR_14,"Walt Whitman","Walt Whitman","Walt Whitman","Walt Whitman","Уолт Уитмен","Walt Whitman","Walt Whitman","Walt Whitman"
STR_QUOTE_15,"Men are at war with each other because each man is at war with himself.","Muži bojují mezi sebou navzájem, protože každý muž bojuje sám se sebou.","Männer führen Kriege gegeneinander, weil jeder Mann im Krieg mit sich selber ist.","Ludzie toczą ze sobą wojny, ponieważ każdy człowiek toczy wojnę z samym sobą.","Генерал - это ефрейтор, которого много раз повышали в звании.","Les hommes se font la guerre parce que chacun est en guerre avec lui-même.","Los hombres están en guerra entre ellos porque cada hombre está en guerra consigo mismo.","Gli uomini si fanno la guerra perché ciascun uomo è in guerra con se stesso."
STR_AUTHOR_15,"Francis Meehan","Francis Meehan","Francis Meehan","Francis Meehan","Габриэль Лауб","Francis Meehan","Francis Meehan","Francis Meehan"
STR_QUOTE_16,"It's not that I'm afraid to die, I just don't want to be there when it happens.","Nebojím se zemřít – jen u toho nechci být, až to nastane.","Ich habe keine Angst vor dem Tod, ich möchte nur nicht dabeisein, wenn's passiert.","Nie chodzi o to, że boję się śmierci, po prostu nie chcę być przy tym, gdy się zjawi.","Самое ужасное, не считая проигранного сражения, это выигранное сражение.","Je n'ai pas peur de mourir, mais je ne veux pas être là quand ça arrivera.","No es que tenga miedo a morir, es sólo que no quiero estar ahí cuando suceda.","Non è che ho paura di morire. Semplicemente non voglio esserci quando accadrà."
STR_AUTHOR_16,"Woody Allen","Woody Allen","Woody Allen","Woody Allen","Герцог Веллингтон","Woody Allen","Woody Allen","Woody Allen"
STR_QUOTE_17,"It is hard to have patience with people who say 'There is no death' or 'Death doesn't matter.' There is death and whatever is matters.","Je těžké mít trpělivost s lidmi, kteří říkají 'Žádná smrt není' nebo 'Smrt není důležitá'. Smrt je a něco znamená.","Ich habe wenig Geduld mit Leuten, die sagen: ""Es gibt keinen Tod,"" oder ""Der Tod ist unwichtig"". Es gibt den Tod. Und alles was ist, ist wichtig.","Trudno zachować cierpliwość, gdy się słyszy, jak ludzie mówią 'Nie ma śmierci' albo 'Śmierć nie ma znaczenia.' Śmierć istnieje i ma znaczenie.","Если бы наши солдаты понимали, из-за чего мы воюем, нельзя было бы вести ни одной войны.","Il est difficile d'être patient envers les gens qui disent ""La mort n'existe pas"" ou ""La mort n'a aucune importance"". La mort existe et elle seule a de l'importance.","Es difícil tener paciencia con la gente que dice: “la muerte no existe”, o “la muerte no importa”. La muerte existe y, sea lo que sea, importa.","È difficile non perder la pazienza con chi dice “La morte non esiste” o “La morte non è importante”. La morte esiste ed è importante."
STR_AUTHOR_17,"C.S.Lewis","C.S.Lewis","C.S. Lewis","C.S. Lewis","Фридрих Великий","C.S. Lewis","C.S.Lewis","C. S. Lewis"
STR_QUOTE_18,"A man's dying is more the survivors' affair than his own.","Smrt muže je víc zásluhou přeživších než jeho vlastní.","Der Tod eines Mannes ist eher eine Angelegenheit seiner Hinterbliebenen denn seine eigene.","Zmarły jest bardziej zmartwieniem dla ocalałych niż własnym.","Первой жертвой войны становится правда.","La mort d'un homme est plus un problème pour ceux qui lui survivent que pour lui-même.","La muerte de un hombre concierne más a los que sobreviven que a él mismo.","La morte di un uomo è meno affar suo che di chi gli sopravvive."
STR_AUTHOR_18,"Thomas Mann","Thomas Mann","Thomas Mann","Tomasz Mann","Джонсон Хайрам","Thomas Mann","Thomas Mann","Thomas Mann"
STR_QUOTE_19,"I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on them unless they act.","Nevěřím na osud, který dopadne na člověka bez ohledu na to, jak jedná – věřím na osud, který dopadne na ty, kdo nejednají.","Ich glaube nicht an ein Schicksal, welches die Menschen unabhängig von Ihren Handlungen ereilt. Ich glaube eher an ein Schicksal, welches die Menschen ereilt, wenn sie nicht handeln.","Nie wierzę w los, dosięgający ludzi bez względu na to, co robią; ale wierzę w los, który spotyka ich, jeśli nie robią nic.","Генералы всегда готовятся к прошлой войне.","Je ne crois pas que le sort s'impose aux hommes quoi qu'ils fassent, mais je crois qu'il s'impose à ceux qui ne font rien.","No creo en un destino que cae sobre los hombres, actúen como actúen; pero sí en uno que cae sobre ellos a menos que actúen.","Non credo che il fato colpisca gli uomini qualunque cosa facciano, ma credo che il fato li colpisca a meno che non facciano qualcosa."
STR_AUTHOR_19,"G. K. Chesterton","G. K. Chesterton","G. K. Chesterton","G.K. Chesterton","Уинстон Черчилль","G. K. Chesterton","G. K. Chesterton","G. K. Chesterton"
STR_QUOTE_20,"A man who won't die for something is not fit to live.","Muž, který není ochoten pro něco zemřít, si nezaslouží žít.","Ein Mensch, der für nichts zu sterben gewillt ist, verdient nicht zu leben.","Człowiek, który nie jest gotów za coś umrzeć, nie powinien żyć.","В военное время правда столь драгоценна, что ее должны охранять караулы лжи.","Un homme qui n'est pas prêt à mourir pour quelque chose ne mérite pas de vivre.","Un hombre que no tiene algo por lo que morir, no está listo para vivir.","Se un uomo non è disposto a morire per un qualcosa, non è adatto a vivere."
STR_AUTHOR_20,"Martin Luther King","Martin Luther King","Martin Luther King","Martin Luther King","Уинстон Черчилль","Martin Luther King","Martin Luther King","Martin Luther King"
STR_QUOTE_21,"Once the game is over, the king and the pawn go back in the same box.","Když hra skončí, setkají se král a pěšec ve stejné krabici.","Wenn das Spiel zuende ist, landen König und Bauer wieder in derselben Schachtel.","Gdy kończy się gra, król i pionek lądują w tym samym pudle.","Ничто так не поднимает боевой дух, как мертвый генерал.","Lorsque la partie est finie, le roi et le pion retournent dans la même boîte.","Cuando el juego termina, el rey y el peón acaban en la misma caja.","Quando la partita è finita, re e pedone finiscono nella stessa scatola."
STR_AUTHOR_21,"Italian Proverb","Italské přísloví","Italienisches Sprichwort","Włoskie przysłowie","Джон Мастерс","Proverbe italien","Proverbio italiano","Proverbio italiano"
STR_QUOTE_22,"I have not yet begun to fight!","Ještě jsem nezačal bojovat!","Ich habe den Kampf noch nicht begonnen!","Jeszcze nie zacząłem walczyć!","Я еще и не начинал драться!","Je n'ai pas encore commencé à me battre !","¡Aún no he empezado a luchar!","Non ho ancora cominciato a combattere!"
STR_AUTHOR_22,"John Paul Jones","John Paul Jones","John Paul Jones","John Paul Jones","Джон Пол Джонс","John Paul Jones","John Paul Jones","John Paul Jones"
STR_QUOTE_23,"Mankind must put an end to war, or war will put an end to mankind.","Lidstvo musí skoncovat s válkami nebo války skoncují s lidstvem.","Die Menschheit muß dem Krieg ein Ende setzen, oder der Krieg setzt der Menschheit ein Ende.","Ludzkość musi skończyć z wojną, w przeciwnym razie wojna wykończy ludzkość.","Либо человечество покончит с войной, либо война покончит с человечеством.","L'humanité doit mettre fin à la guerre ou la guerre mettra fin à l'humanité.","La humanidad debe acabar con las guerras para que éstas no acaben con la humanidad.","L’umanità deve porre fine alla guerra, o la guerra porrà fine all’umanità."
STR_AUTHOR_23,"John Fitzgerald Kennedy","John Fitzgerald Kennedy","John Fitzgerald Kennedy","John Fitzgerald Kennedy","Джон Фитцджеральд Кеннеди","John Fitzgerald Kennedy","John Fitzgerald Kennedy","John Fitzgerald Kennedy"
STR_QUOTE_24,"Wars have never hurt anybody except the people who die.","Války neubližují nikomu – vyjma lidí, kteří zemřou.","Kriege haben noch nie jemandem geschadet, außer denen, die in ihnen umkommen.","Wojny nigdy nikogo nie krzywdzą - oprócz tych, którzy umierają.","Я не знаю ни одного народа, который обогатился бы вследствие победы.","Les guerres n'ont jamais fait de mal à qu'à ceux qui y meurent.","Las guerras nunca han hecho daño a nadie, a parte de a los que mueren.","Le guerre non hanno mai fatto male a nessuno, tranne che alla gente che è morta."
STR_AUTHOR_24,"Salvador Dali","Salvador Dali","Salvador Dali","Salvador Dali","Вольтер","Salvador Dali","Salvador Dali","Salvador Dali"
STR_QUOTE_25,"War does not determine who is right - only who is left.","Ve válce není důležité, kdo má pravdu – jen to, kdo zůstane naživu.","Der Krieg entscheidet nicht darüber, wer Recht hat, sondern nur darüber, wer übrig bleibt.","Wojna nie określa, kto ma rację - tylko kto przetrwa.","Война никогда не определит того, кто прав, а только того, кто выжил.","La guerre ne détermine pas qui a raison, seulement qui survit.","La guerra no determina quién tiene razón, sólo quién sobrevive.","La guerra non stabilisce chi ha ragione, ma solo chi sopravvive."
STR_AUTHOR_25,"Bertrand Russell","Bertrand Russell","Bertrand Russell","Bertrand Russell","Бертран Расселл","Bertrand Russell","Bertrand Russell","Bertrand Russell"
STR_QUOTE_26,"We improve ourselves by victories over ourself. There must be contests, and you must win.","Rosteme díky vítězstvím nad sebou samými. Musíme bojovat a musíme vítězit.","Wir verbessern uns durch die Siege über uns selbst. Es muss Wettstreit geben, in dem man gewinnt.","Uczymy się, pokonując samych siebie. Musi być współzawodnictwo i trzeba w nim wygrać.","Войны начинают, когда хотят, но кончают - когда могут.","C'est par les victoires sur nous-mêmes que nous nous améliorons. Il doit y avoir des épreuves, et il faut les gagner.","Nos superamos con victorias sobre nosotros mismos. Debe haber competición, y debes ganar.","Ci miglioriamo grazie alle vittorie su noi stessi. Ci dev’essere competizione e bisogna vincere."
STR_AUTHOR_26,"Edward Gibbon","Edward Gibbon","Edward Gibbon","Edward Gibbon","Никколо Макиавели","Edward Gibbon","Edward Gibbon","Edward Gibbon"
STR_QUOTE_27,"We succeed only as we identify in life, or in war, or in anything else, a single overriding objective, and make all other considerations bend to that one objective.","Uspějeme jedině tehdy, pokud si v životě nebo ve válce nebo kdykoliv jindy stanovíme jednoznačný cíl a uděláme vše proto, abychom ho dosáhli.","Wir sind nur dadurch erfolgreich, dass wir uns im Leben oder im Krieg oder wo auch immer ein einzelnes beherrschendes Ziel setzen und diesem Ziel alle anderen Überlegungen unterordnen.","Odnosimy sukces w życiu, na wojnie czy w każdej innej materii, gdy obierzemy sobie jeden nadrzędny cel i do jego osiągnięcia naginamy wszystko inne.","Дети и генералы любят пугать других.","Nous ne réussissons que si nous identifions dans la vie, à la guerre, ou dans quelque autre domaine, un unique objectif suprême, et amenons toutes les autres considérations à se plier aux contraintes de cet unique objectif.","Sólo logramos el éxito cuando identificamos en la vida, en la guerra o en otra cosa, un único objetivo central, de manera que el resto de consideraciones se supediten a él.","Nella vita, come in guerra, o in un qualunque altra cosa, si ha successo solo se si identifica un obiettivo di primaria importanza a cui assoggettare tutte le altre considerazioni."
STR_AUTHOR_27,"Dwight D. Eisenhower","Dwight D. Eisenhower","Dwight D. Eisenhower","Dwight D. Eisenhower","Войцех Жукровский","Dwight D. Eisenhower","Dwight D. Eisenhower","Dwight D. Eisenhower"
STR_QUOTE_28,"Experience is a hard teacher because she gives the test first, the lesson afterwards.","Život je tvrdým učitelem – napřed přijde zkouška, pak lekce.","Die Erfahrung ist ein strenger Schulmeister: Sie prüft uns, bevor sie uns lehrt.","Doświadczenie to surowy nauczyciel, bo najpierw przeprowadza egzamin, a dopiero potem daje lekcję.","Кадровый офицер - человек, которого мы кормим в мирное время, чтобы в военное время он нас послал на фронт.","L'expérience est un professeur sévère : elle fait passer l'examen avant de donner la leçon.","La experiencia es una maestra dura, porque primero te examina y luego que enseña la lección.","L’esperienza è una maestra severa: prima esamina, poi fa la lezione."
STR_AUTHOR_28,"Vernon Sanders Law","Vernon Sanders Law","Vernon Sanders Law","Vernon Sanders Law","Габриэль Лауб","Vernon Sanders Law","Vernon Sanders Law","Vernon Sanders Law"
STR_AUTHOR_29,"James Thurber","James Thurber","James Thurber","James Thurber","Карл Краус","James Thurber","James Thurber","James Thurber"
STR_QUOTE_29,"You might as well fall flat on your face as lean over too far backwards.","Lehnout si tváří na zem je totéž jako příliš ustoupit.","Man kann besser auf die Nase fallen, als sich zu weit zurück zu lehnen.","Równie dobrze możesz upaść na twarz, jak i wygiąć się zbyt mocno do tyłu.","Как управляется мир и разгораются войны? Дипломаты лгут журналистам и верят своей же лжи, читая ее в газетах.","À trop se pencher en arrière, on risque de tomber face contre terre.","Mejor caerte de bruces que tumbarte demasiado lejos.","Se devi piegarti troppo all’indietro, tanto vale cadere di faccia."
STR_QUOTE_30,"Courage is being scared to death - but saddling up anyway.","Kuráž je být vyděšen k smrti, a přesto nasednout do sedla.","Mut ist, wenn man Todesangst hat, aber sich trotzdem in den Sattel schwingt.","Odwaga polega na odczuwaniu strachu, ale działaniu mimo niego.","Если враг не угрожает, армия в опасности.","Le courage, c'est avoir une trouille du diable, mais monter en selle quand même.","Coraje significa estar muerto de miedo, y aún así salir a luchar.","Aver coraggio significa essere spaventati a morte, ma comunque montare in sella."
STR_AUTHOR_30,"John Wayne","John Wayne","John Wayne","John Wayne","Аркадий Давидович","John Wayne","John Wayne","John Wayne"
STR_QUOTE_31,"Death is more universal than life; everyone dies but not everyone lives.","Smrt je mocnější než život – každý zemře, ale ne každý žije.","Der Tod ist allgemeiner als das Leben: Jeder stirbt, aber nicht jeder lebt.","Śmierć jest bardziej uniwersalna niż życie; wszyscy umierają, ale nie wszyscy żyją.","Генералы - поразительный случай задержки в развитии. Кто из нас в пять лет не мечтал быть генералом?","La mort est plus universelle que la vie : tout le monde meurt, mais tout le monde ne vit pas.","La muerte es más universal que la vida; todo el mundo muere, pero no todos viven.","La morte è più universale della vita: tutti muoiono, ma non tutti vivono."
STR_AUTHOR_31,"A. Sachs","A. Sachs","A. Sachs","A. Sachs","Питер Устинов","A. Sachs","A. Sachs","A. Sachs"
STR_QUOTE_32,"Imagination is the one weapon in the war against reality.","Ve válce s realitou je jedinou zbraní představivost.","Die Fantasie ist die einzige Waffe im Kampf gegen die Wirklichkeit.","Wyobraźnia to jedyna broń w wojnie z rzeczywistością.","Эта война положит конец войнам. И следующая - тоже.","L'imagination est notre seule arme dans la guerre contre la réalité.","En la guerra, la imaginación es la única arma contra la realidad.","L’immaginazione è l’unica arma nella guerra contro la realtà."
STR_AUTHOR_32,"Jules de Gaultier","Jules de Gaultier","Jules de Gaultier","Jules de Gaultier","Дэвид Ллойд Джордж","Jules de Gaultier","Jules de Gaultier","Jules de Gaultier"
STR_QUOTE_33,"You can't say that civilization don't advance, however, for in every war they kill you in a new way.","Nelze říci, že by se civilizace nevyvíjela – v každé válce vás zabijí novým způsobem.","Man kann nicht sagen, dass die Zivilisation keine Fortschritte macht: Für jeden Krieg wird eine neue Todesart entwickelt.","Nie można powiedzieć, że cywilizacja się nie rozwija, przecież w każdej wojnie zabijamy się na inne sposoby.","Нельзя сказать, что цивилизация не идет вперед. Напротив, в каждой новой войне вы можете умереть новым способом.","On ne peut pas affirmer que la civilisation n'avance pas, car à chaque guerre, on se fait tuer d'une manière nouvelle.","No se puede decir que la civilización no avanza, pues en cada guerra te matan de una manera distinta.","Non si può dire che la civilizzazione non avanzi: infatti in ogni guerra ti uccidono in un modo nuovo."
STR_AUTHOR_33,"Will Rogers","Will Rogers","Will Rogers","Will Rogers","Уилл Роджерс","Will Rogers","Will Rogers","Will Rogers"
STR_QUOTE_34,". . .Sometime they'll give a war and nobody will come.",". . .Někdy vypukne válka a nikdo nepřijde.","...Stell dir vor, es ist Krieg, und keiner geht hin.","...Kiedyś wypowiedzą wojnę i nikt się na niej nie zjawi.","...Когда-нибудь объявят войну, и никто не придет.","... Un jour, on déclenchera une guerre et personne ne viendra la faire.","...un día habrá una guerra y no irá nadie.","Un giorno faranno la guerra e nessuno ci andrà."
STR_AUTHOR_34,"Carl Sandburg","Carl Sandburg","Carl Sandburg","Carl Sandburg","Карл Сэндбург","Carl Sandburg","Carl Sandburg","Carl Sandburg"
STR_QUOTE_35,"It is well that war is so terrible, or we should get too fond of it.","Je dobře, že je válka tak strašná, jinak bychom si ji příliš zamilovali.","Der Krieg ist aus gutem Grund so schrecklich, ansonsten würden wir ihn zu sehr genießen.","Dobrze, że wojna jest tak straszna, gdyby było inaczej, za bardzo by się nam podobała.","Война - всего лишь трусливое бегство от проблем мирного времени.","C'est une bonne chose que la guerre soit si terrible, sinon nous l'aimerions trop.","Menos mal que la guerra es tan horrible, si no nos aficionaríamos a ella.","È un bene che la guerra sia così terribile, altrimenti ci potrebbe piacere troppo."
STR_AUTHOR_35,"Robert E. Lee","Robert E. Lee","Robert E. Lee","Robert E. Lee","Томас Манн","Robert E. Lee","Robert E. Lee","Robert E. Lee"
STR_QUOTE_36,"You can no more win a war than you can win an earthquake.","Ve válce nelze zvítězit o nic víc než při zemětřesení.","Man kann einen Krieg genauso wenig gewinnen wie ein Erdbeben.","Szanse na wygranie wojny są takie same jak na pokonanie trzęsienia ziemi.","Выиграть войну так же невозможно, как выиграть землетрясение.","On ne gagne pas davantage une guerre qu'on ne triomphe d'un tremblement de terre.","Una guerra es tan difícil de ganar como un terremoto.","Puoi vincere una guerra allo stesso modo in cui puoi dominare un terremoto."
STR_AUTHOR_36,"Jeannette Rankin","Jeannette Rankin","Jeannette Rankin","Jeannette Rankin","Жанетт Ранкин","Jeannette Rankin","Jeannette Rankin","Jeannette Rankin"
STR_QUOTE_37,"War is one of the scourges with which it has pleased God to afflict men.","Válka je jednou z pohrom, kterými Bůh obdařil člověka.","Der Krieg ist eine der Plagen, mit denen Gott die Menschheit straft.","Wojna to jedno z ciężkich doświadczeń, które cieszą Boga, gdy dotykają ludzi.","Вечный мир воцарится, если заставить победителя оплачивать все расходы.","La guerre est l'un des fléaux qu'il a plu à Dieu d'infliger aux hommes.","La guerra es uno de los azotes con los que Dios decidió afligir al hombre.","La guerra è uno dei flagelli con cui Dio ha voluto affliggere l’uomo."
STR_AUTHOR_37,"Cardinal Richelieu","Cardinal Richelieu","Kardinal Richelieu","Kardynał Richelieu","Эван Эсар","Cardinal de Richelieu","Cardinal Richelieu","Cardinale Richelieu"
