LANGUAGE,"Czech","Polish"
STR_DISP_CONF_RES,"VyhrazenÈ kl·vesy: Esc, F1..F12, 1..0, Backspace","Klawisze zarezerwowane: Esc, F1..F12, 1..0, Backspace"
STR_DISP_CONF_SENS,"Citlivost myöi","Czu≥oúÊ myszy"
STR_DISP_CONF_XAXIS,"Osa X","Oú x"
STR_DISP_CONF_YAXIS,"Osa Y","Oú y"
STR_DISP_CONF_MOUSE_BUTTON,"Prim·rnÌ tlaËÌtko myöi:","G≥. przycisk myszy"

COMMENT,"Displej obtÌûnosti","Ekran stopnia trudnoúci"
STR_DISP_DIFF_NAME,"N·zev","Nazwa"
STR_DISP_DIFF_CADET,"Kadet","Kadet"
STR_DISP_DIFF_VETERAN,"Veter·n","Weteran"

COMMENT,"Displej sÌùovÈ hry","Ekran gry wieloosobowej"
STR_DISP_MULTI_NEW,"Vytvo¯it","Zorganizuj"
STR_DISP_MULTI_JOIN,"P¯ipojit se","Do≥πcz"
STR_DISP_MULTI_SESSIONS,"ProbÌhajÌcÌ hry:","Aktywne sesje:"

STR_DISP_PASSWORD_TITLE,"Heslo","Has≥o"
STR_DISP_PASSWORD,"Heslo:","Has≥o:"

STR_DISP_IP_TITLE,"IP adresa serveru","Adres IP serwera"
STR_DISP_IP_ADDRESS,"Adresa:","Adres:"

STR_DISP_SERVER_TITLE,"Vytvo¯enÌ hry","Tworzenie gry"
STR_DISP_SERVER_ISLAND,"Ostrov:","Wyspa:"
STR_DISP_SERVER_MISSION,"Mise:","Misja:"
STR_DISP_SERVER_EDITOR,"Editor","Edytor"

STR_DISP_CLIENT_TEXT,"»ekej na server","Czekaj na serwer"

STR_DISP_SRVSETUP_TITLE,"P¯Ìprava serveru","Konfiguracja serwera"
STR_DISP_CLISETUP_TITLE,"P¯Ìprava klienta","Konfiguracja klienta"
STR_DISP_SRVSETUP_PLAYERS,"Hr·Ëi","Gracze"
STR_DISP_SRVSETUP_UNITS,"Jednotky","Jednostki"
STR_DISP_SRVSETUP_ISLAND,"Ostrov:","Wyspa:"
STR_DISP_SRVSETUP_NAME,"Mise:","Misja:"
STR_DISP_SRVSETUP_DESC,"Popis:","Opis:"
STR_DISP_SRVSETUP_ASSIGN,"P¯i¯adit","PrzydzieliÊ"
STR_DISP_SRVSETUP_UNASSIGN,"OddÏlit","Nie przydzielaÊ"
STR_DISP_SRVSETUP_RANDOM,"N·hodnÏ","Losowo"

STR_DISP_SRVSIDE_POOL,"K dispozici:","Do dyspozycji:"
STR_DISP_SRVSIDE_WEST,"Z·pad:","ZachÛd:"
STR_DISP_SRVSIDE_EAST,"V˝chod:","WschÛd:"
STR_DISP_SRVSIDE_RESIST,"Partyz·ni:","Partyzanci:"
STR_DISP_SRVSIDE_CIVIL,"CivilistÈ:","Cywile:"

STR_DISP_MPROLE_ROLES,"Role:","Role:"

STR_DISP_SERVER_READY,"ZaËÌt hru","RozpoczπÊ grÍ"
STR_DISP_CLIENT_READY,"Jsem p¯ipraven","Wszystko gotowe"

STR_DISP_CLIENT_WAIT_TEXT,"Hra probÌh·, poËkej prosÌm","Gra w toku, proszÍ czekaÊ"

STR_DISP_MP_PLAYERS,"Hr·Ëi:","Gracze:"
STR_DISP_MP_PLAYERS_TITLE,"Hr·Ëi","Gracze"
STR_DISP_MP_PL,"Hr·Ë:","Gracz:"
STR_DISP_MP_PL_NAME,"JmÈno:","Nazwa:"
STR_DISP_MP_PL_MAIL,"E-mail:","E-mail:"
STR_DISP_MP_PL_ICQ,"ICQ:","ICQ:"
STR_DISP_MP_PL_REMARK,"Pozn·mka:","Znak:"
STR_DISP_MP_SQ,"Druûstvo:","Druøyna:"
STR_DISP_MP_SQ_NAME,"N·zev:","Nazwa:"
STR_DISP_MP_SQ_ID,"Id:","Id:"
STR_DISP_MP_SQ_MAIL,"E-mail:","E-mail:"
STR_DISP_MP_SQ_WEB,"Web:","Web:"
STR_DISP_MP_SQ_PICTURE,"Obr·zek:","Obraz:"
STR_DISP_MP_SQ_TITLE,"Titulek:","Tytu≥:"

COMMENT,"TestovacÌ displej ukl·d·nÌ","Ekran testowania zapisywania"
STR_DISP_SAVE_NAME,"Testuji","Trwa testowanie"

COMMENT,"BrÌfink","Ekran instrukcji"
STR_DISP_BRIEF_TITLE,"BrÌfink mise","Odprawa"
IDS_LOADING,"P¯ebÌr·m stav mise","OdbiÛr stanu misji"

COMMENT,"Displej zaË·tku kola","Ekran rozpoczÍcia tury"
STR_DISP_TURN_TITLE,"Kolo","Tura"

COMMENT,"Displej celkov˝ch vÌtÏzstvÌ","Ekran podsumowania zwyciÍstw"
STR_DISP_WIN_TITLE,"TESTOVACÕ OBRAZOVKA-POKRA»UJTE STISKEM POKRA»OVAT","EKRAN TESTOWY - MOØNA KONTYNUOWA∆"

COMMENT,"ZobrazenÌ celkov˝ch ztr·t","Ekran podsumowania poraøek"
STR_DISP_LOSS_TITLE,"POKRA»OVAT","KONTYNUOWA∆"

COMMENT,"Displej p¯ipravenosti","Ekran gotowoúci"
STR_DISP_STAT_KILLED,"ZNI»EN","ZNISZCZONY"
STR_DISP_STAT_BY_YOU,"TEBOU","PRZEZ CIEBIE"
STR_DISP_STAT_BY_GRP,"TVOJÕ SKUPINOU","PRZEZ TWOJ• GRUP "
STR_DISP_STAT_TOTAL,"CELKEM","W SUMIE"

STR_DISP_BRIEFING,"BrÌfink","Instrukcje"
STR_DISP_DEBRIEFING,"Hl·öenÌ po misi","Podsumowanie misji"
STR_DISP_DEBRIEFING_RESTART,"Od zaË·tku","Od nowa"

COMMENT,"Displej zabitÈho hr·Ëe","Ekran úmierci gracza"
STR_DISP_KILL_TITLE,"JSI MRTEV","NIE ØYJESZ"
STR_DISP_KILL_RETRY,"Opakovat","PowtÛrka"
STR_DISP_KILL_CONTINUE,"PokraËovat","Kontynuuj"

COMMENT,"V˝bÏr ostrova","Ekran wybierania wyspy"
STR_DISP_MISSION_EDITOR,"Editor misÌ","Edytor misji"
STR_DISP_SELECT_ISLAND,"Vyberte si ostrov","Wybierz wyspÍ"

COMMENT,"Displej vlastnÌ akËnÌ hry","Ekran w≥asnej gry zrÍcznoúciowej"
STR_DISP_ARCMAP_INTEL,"Pr˘zkum","Intel"
STR_DISP_ARCMAP_LOAD,"NaËÌst","WczytaÊ"
STR_DISP_ARCMAP_MERGE,"Spojit","ScaliÊ"
STR_DISP_ARCMAP_SAVE,"Uloûit","ZapisaÊ"
STR_DISP_ARCMAP_CLEAR,"Smazat","WyczyúciÊ"
STR_DISP_ARCMAP_ADD_SECTION,"P¯idat scÈnu","DodaÊ scenÍ"
STR_DISP_ARCMAP_PREVIEW,"Zahr·t si","Podglπd"
STR_DISP_ARCMAP_CONTINUE,"PokraËovat","KontynuowaÊ"
STR_DISP_ARCMAP_UNITS,"Jednotky (F1)","Jednostki (F1)"
STR_DISP_ARCMAP_GROUPS,"Skupiny (F2)","Grupy (F2)"
STR_DISP_ARCMAP_SENSORS,"SpÌnaËe (F3)","Wyzwalacze (F3)"
STR_DISP_ARCMAP_WAYPOINTS,"Body trasy (F4)","Punkty trasy (F4)"
STR_DISP_ARCMAP_SYNCHRONIZE,"Synchroniz. (F5)","Synchroniz. (F5)"
STR_DISP_ARCMAP_MARKERS,"ZnaËky (F6)","Znaki (F6)"
STR_DISP_ARCMAP_EXIT,"Opustit","PrzerwaÊ"

STR_DISP_ARCUNIT_SIDE,"Strana:","Strona:"
STR_DISP_ARCUNIT_CLASS,"T¯Ìda:","Klasa:"
STR_DISP_ARCUNIT_VEHICLE,"Jednotka:","Jednostka:"
STR_DISP_ARCUNIT_RANK,"Hodnost:","StopieÒ:"
STR_DISP_ARCUNIT_AZIMUT,"Azimut:","Azymut:"
STR_DISP_ARCUNIT_CTRL,"Ovl·d·nÌ:","Sterowanie:"
STR_DISP_ARCUNIT_HEALTH,"ZdravÌ / pancÌ¯","Kondycja/pancerz"
STR_DISP_ARCUNIT_FUEL,"Palivo","Paliwo"
STR_DISP_ARCUNIT_AMMO,"Munice","Amunicja"
STR_DISP_ARCUNIT_SPECIAL,"Zvl·ötnÌ:","Specjalny:"
STR_DISP_ARCUNIT_AGE,"St·¯Ì infce:","Wiek:"
STR_DISP_ARCUNIT_PLACE,"PolomÏr umÌstÏnÌ:","Rozrzut:"
STR_DISP_ARCUNIT_PRESENCE,"PravdÏpodobnost v˝skytu:","PrawdopodobieÒstwo obecnoúci:"
STR_DISP_ARCUNIT_PRESENCE_COND,"PodmÌnka p¯Ìtomnosti:","Warunek obecnoúci:"
STR_DISP_ARCUNIT_TEXT,"N·zev:","Nazwa:"
STR_DISP_ARCUNIT_LOCK,"ZamËeno:","Zamek pojazdu:"
STR_DISP_ARCUNIT_INIT,"Inicializace:","Inicjacja:"
STR_DISP_ARCUNIT_SKILL,"Dovednost:","Predyspozycje:"

STR_DISP_ARCGRP_TITLE,"Vloû skupinu","Wstaw grupÍ"
STR_DISP_ARCGRP_SIDE,"Strana:","Strona:"
STR_DISP_ARCGRP_TYPE,"Typ:","Typ:"
STR_DISP_ARCGRP_NAME,"N·zev:","Nazwa:"

STR_DISP_ARCWP_TYPE,"Vyberte typ:","Wybierz typ:"
STR_DISP_ARCWP_SEQ,"Po¯adÌ bod˘ trasy:","Rozkaz punktu trasy:"
STR_DISP_ARCWP_DESC,"Popis:","Opis:"
STR_DISP_ARCWP_SEMAPHORE,"Reûim:","Postawa:"
STR_DISP_ARCWP_FORM,"Formace:","Szyk:"
STR_DISP_ARCWP_SPEED,"Rychlost:","SzybkoúÊ:"
STR_DISP_ARCWP_COMBAT,"Chov·nÌ:","Zachowanie siÍ:"
STR_DISP_ARCWP_PLACE,"PolomÏr umÌstÏnÌ:","Rozrzut:"
STR_DISP_ARCWP_EFFECTS,"Efekty","Efekty"
STR_DISP_ARCWP_TIMEOUT,"OdpoËet:","Limit czasu"
STR_DISP_ARCWP_TIMEOUT_MIN,"Min:","Min:"
STR_DISP_ARCWP_TIMEOUT_MAX,"Max:","Maks:"
STR_DISP_ARCWP_TIMEOUT_MID,"Pr˘m:","år:"
STR_DISP_ARCWP_HOUSEPOS,"Pozice v domÏ:","Pozycja u siebie:"
STR_DISP_ARCWP_EXPACTIV,"P¯i aktivaci:","Przy aktywacji:"
STR_DISP_ARCWP_EXPCOND,"PodmÌnka:","Warunek:"
STR_DISP_ARCWP_SHOW_NEVER,"Neuk·zat nikdy","Nigdy nie pokazywaÊ"
STR_DISP_ARCWP_SHOW_EASY,"Uk·zat v kadet modu","PokazywaÊ w trybie kadeta"
STR_DISP_ARCWP_SHOW_ALWAYS,"Uk·zat vûdy","Zawsze pokazywaÊ"
STR_DISP_ARCWP_SCRIPT,"Skript:","Skrypt:"

STR_DISP_ARCEFF_TITLE,"Uprav efekty","Zmodyfikuj efekty"
STR_DISP_ARCEFF_CAMERA,"Kamera:","Kamera:"
STR_DISP_ARCEFF_CAMTYPE,"Efekt:","Efekt:"
STR_DISP_ARCEFF_CAMPOS,"Pozice:","Pozycja:"
STR_DISP_ARCEFF_SOUNDS,"Zvuky","DüwiÍki:"
STR_DISP_ARCEFF_SOUND_ANON,"AnonymnÌ:","Anonimowy:"
STR_DISP_ARCEFF_VOICE,"Hlas:","G≥os:"
STR_DISP_ARCEFF_MUSIC,"Hudba:","Muzyka:"
STR_DISP_ARCEFF_SOUND_ENV,"V prost¯edÌ:","Otoczenie:"
STR_DISP_ARCEFF_SOUND_DET,"SpÌnaË:","Wyzwalacz:"
STR_DISP_ARCEFF_TRACK,"Stopa:","åcieøka:"
STR_DISP_ARCEFF_TITLES,"Titulky:","Tytu≥y:"
STR_DISP_ARCEFF_TITTYPE,"Typ:","Typ:"
STR_DISP_ARCEFF_TITEFF,"Efekt:","Efekt:"
STR_DISP_ARCEFF_TITTEXT,"Text:","Tekst:"
STR_DISP_ARCEFF_ACTIVATION,"Aktivace:","Aktywacja:"
STR_DISP_ARCEFF_EVERYBODY,"Kdokoli","Ktokolwiek"
STR_DISP_ARCEFF_PLAYERONLY,"Pouze hr·Ë","Tylko gracz"

STR_DISP_ARCSENS_TITLE,"Uprav spÌnaË","Zmodyfikuj wyzwalacz"
STR_DISP_ARCSENS_A,"Osa A","Oú a"
STR_DISP_ARCSENS_B,"Osa B","Oú b"
STR_DISP_ARCSENS_ANGLE,"⁄hel","Kπt"
STR_DISP_ARCSENS_ELLIPSE,"Elipsa","Elipsa"
STR_DISP_ARCSENS_RECT,"ObdÈlnÌk","Prostokπt"
STR_DISP_ARCSENS_ACTIV,"Aktivace","Aktywacja"
STR_DISP_ARCSENS_PRESYES,"P¯Ìtomen","Obecny"
STR_DISP_ARCSENS_PRESNO,"Nep¯Ìtomen","Nieobecny"
STR_DISP_ARCSENS_DETWEST,"Odhalen Z·padem","Odkryty przez ZachÛd"
STR_DISP_ARCSENS_DETEAST,"Odhalen V˝chodem","Odkryty przez WschÛd"
STR_DISP_ARCSENS_DETGUERRILA,"Odhalen partyz·ny","Odkryty przez partyzantÛw"
STR_DISP_ARCSENS_DETCIVILIAN,"Odhalen civilisty","Odkryty przez cywilÛw"
STR_DISP_ARCSENS_ONCE,"Jednou","Raz"
STR_DISP_ARCSENS_REPEAT,"OpakovanÏ","Cyklicznie"
STR_DISP_ARCSENS_COUNTDOWN,"OdpoËet","Odliczanie"
STR_DISP_ARCSENS_TIMEOUT,"Trv·nÌ","Limit czasu"
STR_DISP_ARCSENS_TIMEOUT_MIN,"Min:","Min:"
STR_DISP_ARCSENS_TIMEOUT_MAX,"Max:","Maks:"
STR_DISP_ARCSENS_TIMEOUT_MID,"Pr˘m:","år:"
STR_DISP_ARCSENS_TYPE,"Typ","Typ"
STR_DISP_ARCSENS_OBJECT,"Objekt","Obiekt"
STR_DISP_ARCSENS_TEXT,"Text","Tekst"
STR_DISP_ARCSENS_EFFECTS,"Efekty","Efekty"
STR_DISP_ARCSENS_EXPCOND,"PodmÌnka","Warunek"
STR_DISP_ARCSENS_EXPACTIV,"P¯i aktivaci","Przy aktywacji"
STR_DISP_ARCSENS_EXPDESACTIV,"P¯i deaktivaci","Przy dezaktywacji"
STR_DISP_ARCSENS_NAME,"N·zev:","Nazwa:"

STR_DISP_ARCMARK_NAME,"N·zev:","Nazwa:"
STR_DISP_ARCMARK_COLOR,"Barva:","Kolor:"
STR_DISP_ARCMARK_ICON,"Obr·zek","Obrazek"
STR_DISP_ARCMARK_RECT,"ObdÈlnÌk","Prostokπt"
STR_DISP_ARCMARK_ELLIPSE,"Elipsa","Elipsa"
STR_DISP_ARCMARK_A,"Osa x ","Oú a"
STR_DISP_ARCMARK_B,"Osa y ","Oú b"
STR_DISP_ARCMARK_ANGLE,"⁄hel:","Kπt:"
STR_DISP_ARCMARK_TEXT,"Text:","Tekst:"

STR_DISP_TEMPL_SAVE,"Uloûit misi","ZapisaÊ misjÍ"
STR_DISP_TEMPL_LOAD,"NaËÌst misi","WczytaÊ misjÍ"
STR_DISP_TEMPL_NAME,"N·zev mise:","Nazwa misji:"
STR_DISP_TEMPL_MODE,"Uloûit jako:","ZapisaÊ jako:"
STR_DISP_TEMPL_ISLAND,"Ostrov:","Wyspa:"

STR_DISP_INTEL_TITLE,"Pr˘zkum","Intel"
STR_DISP_INTEL_WEATHER,"PoËasÌ","Pogoda"
STR_DISP_INTEL_FORECAST,"P¯edpovÏÔ","Prognoza"
STR_DISP_INTEL_DATE,"Datum","Data:"
STR_DISP_INTEL_TIME,"»as","Godzina:"
STR_DISP_INTEL_BRIEFING,"BrÌfink","Odprawa"
STR_DISP_INTEL_NAME,"N·zev","Nazwa:"
STR_DISP_INTEL_DESC,"Popis","Opis:"
STR_DISP_INTEL_RESISTANCE,"Partyz·ni jsou spojenci","Partyzanci w sojuszu z"
STR_DISP_INTEL_NONE_FRIENDLY,"Nikoho","nikim"
STR_DISP_INTEL_WEST_FRIENDLY,"Z·padu","Zachodem"
STR_DISP_INTEL_EAST_FRIENDLY,"V˝chodu","Wschodem"
STR_DISP_INTEL_BOTH_FRIENDLY,"Vöech","Wszystkimi"

STR_DISP_GR_WAYPOINTS,"Body trasy (F1)","Punkty trasy (F1)"
STR_DISP_GR_SYNCHRONIZE,"Synchronizace (F2)","Synchronizacja (F2)"

COMMENT,"Displej p¯ihl·öenÌ hr·Ëe","Ekran wstÍpu gracza"
STR_DISP_LOGIN_TITLE,"Vyberte hr·Ëe","Wybierz gracza"
STR_DISP_LOGIN_USER,"Hr·Ëi:","Gracze:"

STR_DISP_NEW_USER_NAME,"JmÈno hr·Ëe:","Nazwa gracza:"
STR_DISP_NEW_USER_FACE,"Tv·¯:","Oblicze:"
STR_DISP_NEW_USER_GLASSES,"Br˝le:","Okulary:"
STR_DISP_NEW_USER_SPEAKER,"ÿeËnÌk:","Typ g≥osu:"
STR_DISP_NEW_USER_PITCH,"V˝öka:","Barwa g≥osu:"
STR_DISP_NEW_USER_SQUAD,"URL klanu:","URL druøyny:"

COMMENT,",Chat display",""
STR_DISP_CHAT_TITLE,"Chat","Chat"
STR_DISP_CHAT_SEND,"Odeöli","Wyúlij"

COMMENT,"Displej p¯eruöenÌ","Ekran przerwy"
STR_DISP_INT_TITLE,"Pauza","Przerwa"
STR_DISP_INT_ABORT,"P¯eruöit","DoúÊ"
STR_DISP_INT_CONTINUE,"PokraËovat","KontynuowaÊ"
STR_DISP_INT_OPTIONS,"NastavenÌ","Opcje"
STR_DISP_INT_LOAD,"NaËÌst","WczytaÊ"
STR_DISP_INT_SAVE,"Uloûit","ZapisaÊ"
STR_DISP_INT_RETRY,"Znovu","PowtÛrka"

COMMENT,"Konec mise","Ekran koÒca misji"
STR_DISP_ME_ABORT,"UkonËit","ZakoÒczyÊ"
STR_DISP_ME_RETRY,"Znovu","PowtÛrka"
STR_DISP_ME_LOAD,"NaËÌst","WczytaÊ"

COMMENT,"N·povÏda","Ekran wskazÛwek"
STR_DISP_HINTC_CONTINUE,"PokraËovat","KontynuowaÊ"

COMMENT,"P¯ÌkazovÈ menu","Polecenia w menu"
STR_REPLY,"OdpovÏÔ","Odpowiedü"
STR_MENU_STATUS,"Stav","Stan"
STR_REPLY_MENU,"OdpovÏÔ","Odpowiedü"
STR_REPLY_DONE,"Hotovo","Gotowe"
STR_REPLY_FAIL,"Nepovedlo se","Poraøka"
STR_REPLY_COPY,"Provedu","OdbiÛr"
STR_REPLY_REPEAT,"Opakuj","PowtÛrz"
STR_REPLY_WHERE_ARE_YOU,"Kde jste?","Gdzie jesteú?"
STR_REPLY_ENGAGING,"⁄toËÌm","AtakujÍ"
STR_REPLY_UNDER_FIRE,"Jsem pod palbou","Pod ostrza≥em"
STR_REPLY_HIT,"Dostal jsem to","Dosta≥em!"
STR_REPLY_ONE_LESS,"Je po nÏm","Jednego mniej"
STR_REPLY_FIREREADY,"K palbÏ p¯ipraven","Gotowy do strza≥u"
STR_REPLY_FIRENOTREADY,"Nem˘ûu st¯Ìlet","Nie moøe strzelaÊ"
STR_REPLY_KILLED,"... je mrtvej","... nie øyje"
STR_REPLY_INJURED,"Jsem ranÏn","Oberwa≥em"
STR_REPLY_FUEL_LOW,"Doch·zÌ mi palivo","KoÒczy mi siÍ paliwo"
STR_REPLY_AMMO_LOW,"Doch·zÌ mi munice","KoÒczy mi siÍ amunicja"

STR_CALL_SUPPORT,"Zavolej podporu","Wezwij wsparcie"
STR_SUPPORT_MENU,"Zavolej podporu","Wezwij wsparcie"
STR_SUPPORT_MEDIC,"ZdravotnÌk","Lekarz"
STR_SUPPORT_REPAIR,"Oprav·renskÈ auto","CiÍøarÛwka naprawcza"
STR_SUPPORT_REARM,"MuniËnÌ auto","CiÍøarÛwka z amunicjπ"
STR_SUPPORT_REFUEL,"Cisterna","Cysterna"
STR_SUPPORT_DONE,"Hotovo","Gotowe"

STR_COMMAND,"Rozkaz","Rozkazy"
STR_MOVE_OTHER,"JinÈ","Inny"
STR_MOVE_DIR,"SmÏr pohybu","Kierunek ruchu"
STR_WATCH_DIR,"SmÏr pohledu","Kierunek obserwacji"
STR_MOVE_N,"S","N"
STR_MOVE_NE,"SV","NE"
STR_MOVE_E,"V","E"
STR_MOVE_SE,"JV","SE"
STR_MOVE_S,"J","S"
STR_MOVE_SW,"JZ","SW"
STR_MOVE_W,"Z","W"
STR_MOVE_NW,"SZ","NW"
STR_MOVE_DIST,"Vzd·lenost","Dystans"
STR_MOVE_50,"50 m","50 m"
STR_MOVE_100,"100 m","100 m"
STR_MOVE_200,"200 m","200 m"
STR_MOVE_500,"500 m","500 m"
STR_MOVE_1000,"1 km","1 km"
STR_MOVE_2000,"2 km","2 km"
STR_TEAM,"T˝m","ZespÛ≥"
STR_TEAM_MAIN,"BÌl˝","Biali"
STR_TEAM_RED,"»erven˝","Czerwoni"
STR_TEAM_GREEN,"Zelen˝","Zieleni"
STR_TEAM_BLUE,"Modr˝","Niebiescy"
STR_TEAM_YELLOW,"élut˝","ØÛ≥ci"
STR_ASSIGN,"P¯i¯adit","PrzydzieliÊ"
STR_ASSIGN_MAIN,"P¯i¯adit k bÌlÈmu","PrzydzieliÊ do bia≥ych"
STR_ASSIGN_RED,"P¯i¯adit k ËervenÈmu","PrzydzieliÊ do czerwonych"
STR_ASSIGN_GREEN,"P¯i¯adit k zelenÈmu","PrzydzieliÊ do zielonych"
STR_ASSIGN_BLUE,"P¯i¯adit k modrÈmu","PrzydzieliÊ do niebieskich"
STR_ASSIGN_YELLOW,"P¯i¯adit k ûlutÈmu","PrzydzieliÊ do øÛ≥tych"
STR_FORMATION,"Formace","Szyk"
STR_STATUS,"Stav","Stan"

COMMENT,",",""
STR_MENU_TANK,"Tank","Czo≥g"
STR_MENU_TARGET,"CÌl","Cel"

STR_WATCH_TARGET,"CÌl","Cel"
STR_LOOK_AROUND,"Sledovat horizont","Obserwuj horyzont"

STR_HIDE_MENU,"Skryj nabÌdku","Ukryj menu"
STR_CANCEL_MENU,"",""
STR_MORE_MENU,"DalöÌ","Dalej"
STR_TARGET_MENU,"%s na hodinÏ %d","%s na godzinie %d "
STR_TARGET_MENU_SENSOR,"%s, %d na hodinÏ %d","%s, %d na godzinie % "
STR_TARGET_MENU_GROUP,"%s, %s (%d)","%s, %s (%d)"

STR_GETIN_POS,"Kam","Gdzie"
STR_GETIN_POS_ANY,"Kamkoli","Gdziekolwiek"
STR_GETIN_POS_DRIVER,"ÿidiË","Kierowca"
STR_GETIN_POS_PILOT,"Pilot","Pilot"
STR_GETIN_POS_COMM,"Velitel","DowÛdca"
STR_GETIN_POS_GUNN,"St¯elec","Strzelec"
STR_GETIN_POS_CARGO,"Vzadu","Pasaøer"

COMMENT,"STR_TANK_NEXTWP","NastÍpny punkt trasy"
COMMENT,"STR_TANK_MANUAL","RÍczna kontrola"
COMMENT,"STR_TANK_COMMAND","Kontrola dowodzenia"

COMMENT,"PodnabÌdka stavu","Podmenu stanu"
STR_REPORT,"Hlaste se","Do raportu"
COMMENT,STR_ANS_MIS_FAIL,Mise nebyla splnÏna
COMMENT,STR_PREV_WAYPOINT,"Misja przegrana"
COMMENT,STR_NEXT_WAYPOINT,N·sledujÌcÌ bod trasy

COMMENT,Liöta postupu,Poprzedni punkt trasy

STR_LOAD_INIT,"OdpoËÌt·v·nÌ zapoËalo...","Poczπtek odliczania..."
STR_LOAD_WORLD,"NaËÌt·m...","OdbiÛr..."
STR_LOAD_MISSION,"P¯ipravte se...","Momencik..."
STR_LOAD_INTRO,"Chvilku strpenÌ...","Jeszcze chwileczkÍ..."
STR_LOAD_GAME,"NaËÌt·m hru...","Wczytywanie stanu misji..."
STR_SAVE_GAME,"Ukl·d·m hru...","Zapisywanie stanu misji..."
STR_AUTOSAVE_GAME,"Aktualizuji startovnÌ pozici...","Odúwieøanie pozycji..."
STR_WAIT_NETWORK,"»ek·m na protivnÌka...","Czekanie na przeciwnika..."
STR_NETWORK_SEND,"PosÌl·m data...","Wysy≥anie danych..."
STR_NETWORK_RECEIVE,"P¯ijÌm·m data...","OdbiÛr danych..."
STR_NETWORK_RECEIVE_MISSION,"P¯ijÌm·m soubor mise (%d KB / %d KB)","OdbiÛr pliku misji (%d KB / %d KB)"
STR_CREATE_SERVER,"Vytv·¯Ìm server...","Tworzenie serwera..."
STR_CREATE_CLIENT,"Vytv·¯Ìm klienta...","Tworzenie klienta..."
STR_SHUTDOWN,"UkonËuji...","Zamykanie..."

COMMENT,",Radio protocol",""
STR_WORD_ALL,"VäICHNI","WSZYSCY"
STR_WORD_ALLGROUP,"SKUPINA","GRUPA"
STR_WORD_ENEMY,"NEPÿ¡TELSK›","WR”G"
STR_WORD_FRIENDLY,"SPOJENECK›","SW”J"
STR_WORD_NEUTRAL,"NEUTR¡LNÕ","NEUTRALNY"
STR_WORD_UNKNOWN,"NEZN¡M›","NIEZNANY"
STR_WORD_TEAM_MAIN,"BIL› T›M","ZESP”£ BIA£YCH"
STR_WORD_TEAM_RED,"»ERVEN› T›M","ZESP”£ CZERWONYCH"
STR_WORD_TEAM_GREEN,"ZELEN› T›M","ZESP”£ ZIELONYCH"
STR_WORD_TEAM_BLUE,"MODR› T›M","ZESP”£ NIEBIESKICH"
STR_WORD_TEAM_YELLOW,"éLUT› T›M","ZESP”£ Ø”£TYCH"

STR_WORD_AT1,"NA 1. HODINÃ","NA GODZINIE 1"
STR_WORD_AT2,"NA 2. HODINÃ","NA GODZINIE 2"
STR_WORD_AT3,"NA 3. HODINÃ","NA GODZINIE 3"
STR_WORD_AT4,"NA 4. HODINÃ","NA GODZINIE 4"
STR_WORD_AT5,"NA 5. HODINÃ","NA GODZINIE 5"
STR_WORD_AT6,"NA 6. HODINÃ","NA GODZINIE 6"
STR_WORD_AT7,"NA 7. HODINÃ","NA GODZINIE 7"
STR_WORD_AT8,"NA 8. HODINÃ","NA GODZINIE 8"
STR_WORD_AT9,"NA 9. HODINÃ","NA GODZINIE 9"
STR_WORD_AT10,"NA 10. HODINÃ","NA GODZINIE 10"
STR_WORD_AT11,"NA 11. HODINÃ","NA GODZINIE 11"
STR_WORD_AT12,"NA 12. HODINÃ","NA GODZINIE 12"

STR_WORD_DIST50,"50","50"
STR_WORD_DIST100,"100","100"
STR_WORD_DIST200,"200","200"
STR_WORD_DIST500,"500","500"
STR_WORD_DIST1000,"1000","1000"
STR_WORD_DIST2000,"2000","2000"
STR_WORD_DISTFAR,"Velmi daleko","Bardzo daleko"

STR_1_TO_LEADER,"1 VELITELI","1 DO DOW”DCY"
STR_2_TO_LEADER,"2 VELITELI","2 DO DOW”DCY"
STR_3_TO_LEADER,"3 VELITELI","3 DO DOW”DCY"
STR_4_TO_LEADER,"4 VELITELI","4 DO DOW”DCY"
STR_5_TO_LEADER,"5 VELITELI","5 DO DOW”DCY"
STR_6_TO_LEADER,"6 VELITELI","6 DO DOW”DCY"
STR_7_TO_LEADER,"7 VELITELI","7 DO DOW”DCY"
STR_8_TO_LEADER,"8 VELITELI","8 DO DOW”DCY"
STR_9_TO_LEADER,"9 VELITELI","9 DO DOW”DCY"
STR_10_TO_LEADER,"10 VELITELI","10 DO DOW”DCY"
STR_11_TO_LEADER,"11 VELITELI","11 DO DOW”DCY"
STR_12_TO_LEADER,"12 VELITELI","12 DO DOW”DCY"

COMMENT,"N·zevy vozidel","Nazwy pojazdÛw"
STR_DN_UNKNOWN,"Neznam˝ cÌl","Nieznany"
STR_DN_VEHICLE,"Vozidlo","Pojazd"
STR_DN_CAR,"Auto","SamochÛd"
STR_DN_TANK,"Tank","Czo≥g"
STR_DN_APC,"ObrnÏn˝ transportÈr","Transporter opancerzony"
STR_DN_MAN,"»lovÏk","Cz≥owiek"
STR_DN_MAN2,"»lovÏk 2","Cz≥owiek 2"
