STRN_M63,"Bike Race","Závod bicyklů","Fahrradrennen","Wyścig rowerów","Гонка на мотоциклах","Course cycliste","Carrera de bicis","Corsa in bicicletta"
STRN_M64,"Three Team Deathmatch","Všichni proti všem (3 týmy)","Deathmatch mit drei Teams","Deathmatch trzech drużyn","Схватка трех команд","Triple deathmatch en équipe","Combate a muerte tres equipos","Deathmatch a 3 squadre"
STRN_M65,"Blitz","Bleskovka","Blitzkrieg","Blitzkrieg","Блицкриг","Blitz","Bombardeo aéreo","Blitz"
STRN_M66,"Pilot Down","Pilot sestřelen","Abgeschossener Pilot","Zestrzelony pilot","Сбитый пилот","Pilote au tapis","Piloto caído","Pilota a terra"
STRN_M67,"Tower","Věž","Turm","Wieża","Башня","Tour","Torre","Torre"
STRN_M68,"Siberian Base","Základna na Sibiři","Sibirische Basis","Syberyjska baza","Сибирская база","Base sibérienne","Base siberiana","Base siberiana"
STRN_M69,"Escape","Únik","Flucht","Ucieczka","Побег","Fuite","Escapada","Fuga"
STR_DISP_MAIN_XBOX_CAMPAIGN,"Campaign","Kampaň","Kampagne","CAMPAIGN","Кампания","Campagne","Campaña","Campagna"
STR_DISP_MAIN_XBOX_MULTI_OPTIFILTR,"OptiMatch Filter","Filtr OptiMatch","OptiMatch-Filter","OptiMatch Filter","Фильтр OptiMatch","Filtre OptiMatch","Filtro OptiMatch","Filtro OptiMatch"
STR_DISP_XBOX_MULTI_ISLAND,"Island:","Ostrov:","Insel:","Wyspa:","Остров:","Île :","Isla:","Isola:"
STR_DISP_XBOX_MULTI_SERVER_STATE,"Server Presence:","Přítomnost serveru:","Spielstatus:","Server Presence:","Наличие сервера:","Présence serveur :","Presencia de servidor:","Presenza server:"
STR_DISP_XBOX_MULTI_SLOTS,"Slots:","Sloty:","Plätze:","Slots:","Ячейки:","Créneaux :","Huecos:","Posizioni:"
STR_DISP_XBOX_MULTI_LANGUAGE,"Language:","Jazyk:","Sprache:","Language:","Язык:","Langue :","Idioma:","Lingua:"
STR_DISP_XBOX_MULTI_MAX_SLOTS,"Max. slots:","Max. počet slotů:","Max. Spieler:","Max. slots:","Макс. ячеек:","Créneaux max. :","Máx. huecos:","Posizioni max:"
STR_DISP_XBOX_MULTI_MAX_SLOTS_DED,"Max. slots for typical mission:","Max. počet slotů pro typickou misi:","Max. Plätze für typ. Mission:","Max. slots for typical mission:","Макс. ячеек на задание:","Créneaux max. pour mission typique :","Máx. huecos para misión típica:","Posizioni max per missione tipica:"
STR_XBOX_MP_HOST,"Host","Hostitel","Host","Host","Сервер","Hôte","Anfitrión","Host"
STR_DISP_XBOX_MULTI_TEXT_PING,"Ping","Ping","Ping","Ping","Пинг","Ping","Ping","Ping"
STR_DISP_XBOX_MULTI_FILTER_SPEED,"Conection Speed","Rychlost připojení","Verbindungsgeschwindigkeit","Conection Speed","Скорость соединения","Vitesse de connexion","Velocidad de conexión","Velocità connessione"
STR_XBOX_FILTER_HOST,"Host:","Hostitel:","Host:","Host:","Сервер:","Hôte :","Anfitrión:","Host:"
STR_DISP_XBOX_MULTI_CREATE_SERVER,"%1 Create Server","%s Vytvořit server","%1 Spiel anlegen","%1 Create Server","%1 Создать сервер","%1 Créer serveur","%1 Crear servidor","%1 Crea server"
STR_XBOX_DEDICATED_HOST,"Dedicated Host","Vyhrazený hostitel","Dedicated Host","Dedicated Host","Выделенный сервер","Hôte dédié","Anfitrión exclusivo","Host dedicato"
STR_XBOX_CLIENT_TEXT,"Wait for host","Vyčkat na hostitele","Warte auf Host","Wait for host","Ожидание","Attendre l'hôte","Espera al anfitrión","Aspetta host"
STR_XBOX_CREATE_HOST,"Creating host...","Vytvářím hostitele…","Erstelle Host...","Creating host...","Создание сервера...","Création de l'hôte...","Creando anfitrión...","Creazione host in corso..."
STR_XBOX_MSG_WAIT_CONNECTING,"Connecting … wait for host","Připojení… čekám na hostitele","Verbinde… warte auf Host","Connecting … wait for host","Соединение...","Connexion... attendre l'hôte","Conectando... espera al anfitrión","Connessione in corso... in attesa dell’host"
STR_DISP_XBOX_MULTI_LIST,"List Of Contents","Seznam obsahu","Inhaltsverzeichnis","List Of Contents","Список содержимого","Liste de contenus","Índice","Lista di contenuti"
STR_DISP_XBOX_MULTI_SERVER_SETTINGS,"Server Settings","Nastavení serveru","Server Einstellungen","Server Settings","Настройки сервера","Paramètres serveur","Configuración del servidor","Impostazioni server"
STR_DISP_XBOX_MULTI_SERVER_SETTINGS_ADV,"Advanced Server Settings","Nastavení serveru – další možnosti","Erweiterte Server Einstellungen","Advanced Server Settings","Доп. настройки сервера","Paramètres avancés serveur","Configuración avanzada del servidor","Impostazioni avanzate server"
STR_XBOX_MSG_NOT_LIVE,"You don't have Xbox Live account, do you want to create it?","Nemáte k dispozici účet služby Xbox Live – chcete účet vytvořit?","Sie haben kein Xbox Live-Konto, wollen Sie eines anlegen?","You don't have Xbox Live account, do you want to create it?","Вы желаете создать учетную запись Xbox Live?","Vous n'avez pas de compte Xbox Live. En créer un ?","No tienes cuenta de Xbox Live, ¿quieres crear una?","Non possiedi un account Xbox Live. Vuoi crearne uno?"
STR_MSG_SIGN_OUT,"Are you sure you wish to sign out?","Skutečně se chcete odhlásit?","Sind Sie sicher, dass Sie sich abmelden möchten?","Are you sure you wish to sign out?","Вы действительно хотите выйти?","Souhaitez-vous vraiment vous déconnecter ?","¿Seguro que quieres salir?","Sei sicuro di voler uscire?"
STR_MSG_PENDING_INVITATION,"%s<br/>You have a pending game invite from %s. Would you like to join the game session?","%s<br/>Byli jste pozváni ke hře hráčem %s. Chcete se připojit k herní relaci?","%s<br/>Sie haben eine ausstehende Spieleinladung von %s. Möchten Sie der Spielsitzung beitreten?","%s You have a pending game invite from %s. Would you like to join the game session?","%s<br/> У вас есть неотвеченное приглашение в игру от %s. Не хотите ли присоединиться к этой сессии?","%s<br/>Vous avez une invitation en attente de %s. Rejoindre la session de jeu ?","%s<br/>Tienes una invitación pendiente de %s. ¿Quieres unirte a la partida?","%s<br/> Hai un invito in sospeso mandato da %s. Vuoi unirti alla sessione di gioco?"
STR_XBOX_MSG_HOST_SESSION,"No sessions found, would you like to host a session?","Žádná relace nebyla nalezena, chcete se stát hostitelem relace?","Keine Sitzungen gefunden, wollen Sie eine Sitzung hosten?","No sessions found, would you like to host a session?","Не найдено игровых сессий. Желаете создать игру?","Aucune session trouvée. Organiser une session ?","No se ha encontrado ninguna partida, ¿quieres ser anfitrión de una partida?","Nessuna sessione trovata. Vuoi ospitare una sessione?"
STR_DISP_XBOX_HINT_REFRESH,"%1 Refresh list","%1 Aktualizovat seznam","%1 Liste aktualisieren","%1 Refresh list","%1 Обновить","%1 Actualiser la liste","%1 Actualizar lista","%1 Aggiorna lista"
STR_DISP_XBOX_MESSAGE_REFRESH,"Refreshing list...","Aktualizace seznamu…","Aktualisiere Liste...","Refreshing list...","Обновление...","Actualisation de la liste...","Actualizando lista...","Aggiornamento lista in corso..."
STR_XBOX_MP_CONNECTED,"Connected players (%d)","Připojení hráči (%d)","Verbundene Spieler (%d)","Connected players (%d)","Игроки (%d)","Joueurs connectés (%d)","Jugadores conectados (%d)","Giocatori collegati (%d)"
STR_DISP_XBOX_MP_PLAYER_COUNT,"It is not recommended to host a session for more than %d players on your network connection. Do you want to continue?","Vzhledem k vašemu síťovému připojení nedoporučujeme vytvořit relaci pro víc než %d hráčů. Chcete pokračovat?","Es wird nicht empfohlen diese Mission mit mehr als %d Spielern bei Ihrer Netzwerkverbindung zu hosten. Wollen Sie fortfahren?","It is not recommended to host a session for more than %d players on your network connection. Do you want to continue?","При вашем соединении не рекомендуется начинать игру с кол-вом игроков, превышающим %d. Продолжить?","Il n'est pas recommandé d'organiser une session pour plus de %d joueurs sur votre connexion réseau. Continuer ?","No se recomienda ser anfitrión de partidas con más de %d jugadores en tu conexión de red. ¿Continuar?","È sconsigliato ospitare una sessione per più di %d giocatori con la tua connessione di rete. Vuoi continuare?"
STR_XBOX_VOTED_TOP_DIFF_TITLE,"Most wanted difficulty: %s","Nejčastěji požadovaná obtížnost: %s","Beliebt. Schwierigkeitsg.: %s","Most wanted difficulty: %s","Желаемый уровень сложности: %s","Difficulté la plus recherchée : %s","Dificultad más buscada: %s","Difficoltà più ricercata: %s"
STR_XBOX_VOTED_TIMEOUT,"Voting time remaining: %d","Zbývající čas volby: %d","Übrige Auswahlzeit: %d","Voting time remaining: %d","Осталось времени: %d","Temps restant pour le vote : %d","Tiempo de voto restante: %d","Tempo di voto rimanente: %d"
STR_DISP_MP_TIMEOUT,"Timeout: %d","Limit: %d","Timeout: %d","Timeout: %d","Перерыв: %d","Dépass. délai : %d","Tiempo agotado: %d","Tempo scaduto: %d"
STR_DISP_XBOX_EDITOR_WIZARD_NONAME_MISSION,"Your mission is unnamed and may be overwritten next time you access the editor. Do you wish to name your mission?","Nepojmenovali jste misi a můžete ji přepsat při příštím spuštění editoru. Chcete misi pojmenovat?","Ihr Einsatz hat keinen Namen und kann daher überschrieben werden wenn Sie den Editor das nächste Mal öffnen. Möchten Sie Ihren Einsatz benennen?","Nie nazwałeś swojej misji i może ona zostać nadpisana przy kolejnym uruchomieniu edytora. Czy chcesz nadać nazwę swojej misji?","Имя для вашего задания не выбрано. Это может привести к тому, что при следующем запуске редактора задание будет потеряно. Вы желаете дать название заданию?","Cette mission n'a pas de nom et risque d'être écrasée lors du prochain accès à l'éditeur. Donner un nom à cette mission ?","Tu misión no tiene nombre, y podría sobrescribirse la próxima vez que accedas al editor. ¿Quieres darle nombre a tu misión?","La tua missione non ha un nome e potrebbe venire sovrascritta la prossima volta che accedi all’editor. Vuoi dare un nome alla tua missione?"
STR_DISP_XBOX_PROFILE_MISSION,"Current Mission:","Aktuální mise:","Aktueller Einsatz:","Aktualna misja :","Текущее задание:","Mission actuelle :","Misión actual:","Missione corrente:"
STR_DISP_XBOX_EDIT_PROFILE_NAME,"Name","Název","Name","Nazwa","Имя","Nom","Nombre","Nome"
STR_DISP_XBOX_TITLE_BUTTON,"Button Settings","Nastavení tlačítek","Tasten-Einstellungen","Ustawienia klawiszy","Настройки управления","Paramètres touches","Configuración de botones","Impostazioni pulsanti"
STR_DISP_XBOX_CADET_MODE,"%1 Cadet","%1 Kadet","%1 Kadett","%1 Cadet","%1 Кадет","%1 Aspirant","%1 Cadete","%1 Cadetto"
STR_DISP_XBOX_VETERAN_MODE,"%1 Veteran","%1 Veterán","%1 Veteran","%1 Veteran","%1 Ветеран","%1 Vétéran","%1 Veterano","%1 Veterano"
STR_DISP_MAIN_XBOX_MULTI_HINT,"Press %1 to play a multiplayer mission.","Stisknutím %1 spustíte hru pro více hráčů.","%1 Drücken um Mehrspieler-Einsatz zu spielen.","Press %1 to play a multiplayer mission.","Нажмите %1 для начала многопользовательской игры","Appuyer sur %1 pour jouer une mission multijoueur.","Pulsa %1 para jugar una misión multijugador","Premi %1 per giocare una missione multigiocatore."
STR_DISP_XBOX_INTERUPTED_RETRY_HINT,"%1 Retry Mission","%1 Opakovat misi","%1 Einsatz erneut versuchen","%1 Retry Mission","%1 Повтор задания","%1 Réessayer mission","%1 Reintentar misión","%1 Riprova missione"
STR_DISP_MPPASSCODE_DELETE,"%1 Delete all","%1 Zrušit vše","%1 Alle löschen","%1 Delete all","%1 Удалить все","%1 Tout supprimer","%1 Borrar todo","%1 Cancella tutti"
STR_DISP_XBOX_HINT_YES,"%1 Yes","%1 Ano","%1 Ja","%1 Yes","%1 Да","%1 Oui","%1 Sí","%1 Sì"
STR_DISP_XBOX_HINT_NO,"%1 No","%1 Ne","%1 Nein","%1 No","%1 Нет","%1 Non","%1 No","%1 No"
STR_DISP_XBOX_HINT_DEDICATED,"%1 Create dedicated server","%1 Vytvořit vyhrazený server","%1 Dezidierten Server erstellen","%1 Create dedicated server","%1 Создать выделенный сервер","%1 Créer serveur dédié","%1 Crear servidor exclusivo","%1 Crea server dedicato"
STR_DISP_XBOX_HINT_STATISTICS,"%1 Statistics","%1 Statistika","%1 Statistiken","%1 Statistics","%1 Статистика","%1 Statistiques","%1 Estadística","%1 Statistiche"
STR_DISP_XBOX_HINT_ACCEPT_FRIEND,"%1 Make friend","%1 Vytvořit přítele","%1 Freundesanfrage senden","%1 Make friend","%1 Подружиться","%1 Devenir ami","%1 Hacer amigo","%1 Diventa amico"
STR_DISP_XBOX_HINT_SERVER_SETINGS,"%1 Server settings","%1 Nastavení serveru","%1 Server Einstellungen","%1 Server settings","%1Настройки сервера","%1 Paramètres serveur","%1 Configuración del servidor","%1 Impostazioni server"
STR_DISP_XBOX_HINT_NEW_MISSION,"%1 New mission","%1 Nová mise","%1 Neuer Einsatz","%1 New mission","%1 Новое задание","%1 Nouvelle mission","%1 Nueva misión","%1 Nuova missione"
STR_DISP_XBOX_HINT_BUTT_SET,"%1 Button settings","%1 Nastavení tlačítek","1% Tasten-Einstellungen","%1 Button settings","%1 Настройка управления","%1 Paramètres touches","%1 Configuración de botones","%1 Impostazioni pulsanti"
STR_DISP_XBOX_HINT_TO_MAP,"%1 Map","%1 Mapa","%1 Karte","%1 Map","%1 Карта","%1 Carte","%1 Mapa","%1 Mappa"
STR_DISP_XBOX_HINT_EXIT,"%1 Exit","%1 Konec","%1 Beenden","%1 Exit","%1 Выход","%1 Quitter","%1 Salir","%1 Esci"
STR_XBOX_LIVE_STATS_SINGLE,"Single Missions","Jednotlivé mise","Einzelmission","Single Missions","Одиночное задание","Missions en solo","Misiones individuales","Missioni per 1 giocatore"
STR_XBOX_LIVE_STATS_CAMPAIN_1985,"Campaign 1985","Kampaň 1985","Kampagne 1985","Campaign 1985","Кампания 1985","Campagne 1985","Campaña 1985","Campagna 1985"
STR_XBOX_LIVE_STATS_CAMPAIN_RES,"Campaign Resistance","Kampaň – odpor","Kampagne Resistance","Campaign Resistance","Кампания сопротивления","Campagne résistance","Campaña resistencia","Campagna di resistenza"
STR_XBOX_LIVE_STATS_TOTAL,"Total","Celkem","Total","Total","Всего","Total","Total","Totale"
STR_XBOX_LIVE_STATS_DM,"Online - Death Match","Online – Všichni proti všem","Online - Deathmatch","Online - Death Match","Сеть. Битва.","En ligne - Deathmatch","En línea – Combate a muerte","Online - Deathmatch"
STR_XBOX_LIVE_STATS_CTF,"Online - Capture The Flag","Online - Boj o vlajku","Online - Capture The Flag","Online - Capture The Flag","Сеть. Захват флага.","En ligne - Capture de drapeau","En línea – Captura la bandera","Online - Cattura la bandiera"
STR_XBOX_LIVE_STATS_FF,"Online - Flag Fight","Online - Boj o vlajku","Online - Flag Fight","Online - Flag Fight","Сеть. Битва за флаг.","En ligne - Combat pour le drapeau","En línea – Lucha de banderas","Online - Combattim. per la bandiera"
STR_XBOX_LIVE_STATS_COOP,"Online - Cooperative mission","Online – Kooperativní mise","Online - Koop-Einsatz","Online - Cooperative mission","Сеть. Совместное задание.","En ligne - Mission en coopération","En línea – Misión de cooperación","Online - Missione cooperativa"
STR_XBOX_LIVE_STATS_TEAM,"Online - Team Mission","Online – Týmová mise","Online - Teameinsatz","Online - Team Mission","Сеть. Командное задание.","En ligne - Mission en équipe","En línea – Misión en equipo","Online - Missione di squadra"
STR_XBOX_LIVE_STATS_SCONTROL,"Online - Sector Control","Online - Kontrola nad sektorem","Online - Sektorenkontrolle","Online - Sector Control","Сеть. Контроль над сектором.","En ligne - Contrôle de secteurs","En línea – Control del sector","Online - Controllo del settore"
STR_XBOX_LIVE_STATS_HOLD,"Online - Hold Location","Online - Udržet lokaci","Online - Stellung halten","Online - Hold Location","Сеть. Удержание района","En ligne - Tenue de lieu","En línea – Defender lugar","Online - Mantieni la posizione"
STR_XBOX_LIVE_STATS_UNKNOWN,"Online - Unknown","Online - Neznámý","Online - Unbekannt","Online - Unknown","Сеть. Неизвестно.","En ligne - Inconnu","En línea – Desconocido","Online - Sconosciuto"
STR_XBOX_LIVE_STATS_MPTOTAL,"Online - Total","Online - Celkem","Online - Total","Online - Total","Сеть. Всего.","En ligne - Total","En línea – Total","Online - Totale"
STR_XBOX_LIVE_STATS_DDSERVER,"Dedicated Hosting","Vyhrazený hostitel","Dediziertes Hosten","Dedicated Hosting","Выделенный сервер","Hôte dédié","Anfitrión exclusivo","Host dedicato"
STR_XBOX_LIVE_STATS_CAMPAIN1985,"Campaign Cold War Crisis","Kampaň – krize studené války","Kampagne Cold War Crisis","Campaign Cold War Crisis","Кампания ""Холодная война""","Campagne Cold War Crisis","Campaña Crisis de la Guerra Fría","Campagna Crisi Guerra Fredda"
STR_LIVE_STATS_POINTS,"Points","Body","Punkte","Points","Очки","Points","Puntos","Punti"
STR_LIVE_STATS_DROPOUT,"Dropouts/Games","Vyřazení/Hry","Verlassene Spiele/Totale Spiele","Dropouts/Games","Не закончено игр/Всего игр","Déconnexions/parties","Desconexiones/Partidas","Connessione caduta/Partite"
STR_LIVE_STATS_DEDICATED_TIME,"Time","Čas","Zeit","Time","Время","Temps","Tiempo","Tempo"
STR_LIVE_STATS_DEDICATED_POINTS,"Popularity","Popularita","Popularität","Popularity","Популярность","Popularité","Popularidad","Popolarità"
STR_LIVE_STATS_RANK,"Rank","Hodnost","Rang","Rank","Звание","Grade","Rango","Rango"
STR_LIVE_STATS_NAME,"Name","Jméno","Name","Name","Имя","Nom","Nombre","Nome"
STR_DISP_XBOX_FRIEND_STOP,"Block Friend Requests from player.","Blokovat požadavek na přidání mezi přátele.","Anfragen zur Liste der Freunde von folgendem Spieler blockieren.","Block Friend Requests from player.","Запретить запросы от игроков.","Bloquer les requêtes d'ami d'un joueur.","Bloquear solicitudes de amigo del jugador","Blocca richieste amico da giocatore."
STR_DISP_XBOX_MULTI_FRIENDS,"Friends:","Přátelé:","Freunde:","Friends:","Друзья:","Amis :","Amigos:","Amici:"
STR_DISP_MAIN_XBOX_MULTI_PLAYERS_OPTIONS,"Player Options","Možnosti hráče","Spieler-Optionen","Player Options","Индив. настройки","Options de joueur","Opciones del jugador","Opzioni giocatore"
STR_VOICE_MASK_NONE,"None","Žádný","Keine","Brak","Нет","Néant","Ninguna","Nessuna"
STR_VOICE_MASK_ANONYMOUS,"Anonymous","Anonym","Anonym","Anonim","Аноним","Anonyme","Anónima","Anonima"
STR_VOICE_MASK_CARTOON,"Cartoon","Komiks","Cartoon","Kreskówka","Мультик","Cartoon","Cómic","Cartone animato"
STR_VOICE_MASK_BIGGUY,"Big Guy","Tvrdý hoch","Großer Mann","Wielkolud","Здоровяк","Grand type","Tipo grande","Tipo grosso"
STR_VOICE_MASK_CHILD,"Child","Dítě","Kind","Dziecko","Дитя","Enfant","Niño","Bambino"
STR_VOICE_MASK_ROBOT,"Robot","Robot","Roboter","Robot","Робот","Robot","Robot","Robot"
STR_VOICE_MASK_DARKMASTER,"Dark Master","Temný pán","Dark Master","Mistrz mroku","Темный властелин","Sinistre","Maestro oscuro","Maestro dell’oscurità"
STR_VOICE_MASK_WHISPER,"Whisper","Našeptavač","Flüstern","Szept","Шепот","Chuchotement","Susurro","Sussurro"
STR_SINGLE_NEW_MISSION_TITLE,"New Mission","Nová mise","Neuer Einsatz","Nowa misja","Новое задание","Nouvelle mission","Nueva misión","Nuova missione"
STR_XBOX_TEMPLATE_BASIC,"01: Basic","01: Základní","01: Einfach","01: Podstawowa","01: Стандарт","01 - Élémentaire","01: Básico","01: Elementare"
STR_XBOX_TEMPLATE_TARGET,"02: Target","02: Cíl","02: Ziel","02: Cel","02: Цель","02 - Cible","02: Objetivo","02: Obiettivo"
STR_XBOX_TEMPLATE_DEFENDER,"03: Defender","03: Obránce","03: Verteidiger","03: Obrońca","03: Защитник","03 - Défense","03: Defensa","03: Difensore"
STR_XBOX_TEMPLATE_BASES,"04: Bases","04: Základny","04: Stützpunkte","04: Bazy","04: Базы","04 - Bases","04: Bases","04: Basi"
STR_XBOX_MP_TEMPLATE_BASIC,"01: Basic","01: Základní","01: Einfach","01: Podstawowa","01: Стандарт","01 - Élémentaire","01: Básico","01: Elementare"
STR_DISP_XBOX_EDITOR_WIZARD_NAME_TITLE,"Change Mission Name","Změnit název mise","Einsatznamen ändern","Zmień nazwę misji","Сменить название задания","Modifier nom mission","Cambiar nombre de misión","Cambia nome missione"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT_CHOOSE,"Choose Mission Units","Vybrat jednotky mise","Einsatzeinheit wählen","wybierz jednostki misji","Выбрать отряды для задания","Choix unités mission","Elegir unidades de mísión","Scegli unità missione"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT,"Unit:","Jednotka:","Einheit:","Jednostka:","Отряд:","Unité :","Unidad:","Unità:"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT_TITLE,"Unit","Jednotka:","Einheit","Jednostka","Отряд","Unité","Unidad","Unità"
STR_DISP_XBOX_EDITOR_WIZARD_TEMPLATE_TITLE,"Choose Mission Template","Vybrat šablonu mise","Einsatzvorlage wählen","Wybierz szablon misji","Выбрать шаблон задания","Choix modèle mission","Elegir plantilla de la misión","Scegli modello missione"
STR_DISP_XBOX_EDITOR_WIZARD_TEMPLATE,"Template","Šablona","Vorlage","Szablon","Шаблон","Modèle","Plantilla","Modello"
STR_DISP_XBOX_EDITOR_WIZARD_ISLAND,"Island","Ostrov","Insel","Wyspa","Остров","Île","Isla","Isola"
STR_DISP_XBOX_EDITOR_WIZARD_ISLAND_TITLE,"Choose Mission Island","Vybrat ostrov mise","Einsatzinsel wählen","Wybierz wyspę","Выбрать остров для задания","Choix île mission","Elegir isla de ma misión","Scegli isola missione"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER,"Weather:","Počasí:","Wetter:","Pogoda:","Погода:","Météo :","Clima:","Meteo:"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_CURRENT,"Current","Aktuální:","Aktuell","Aktualna","Сегодня","Actuelle","Actual","Attuale"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_FOG,"Fog:","Mlha:","Nebel:","Mgła:","Туман:","Brouillard :","Niebla:","Nebbia:"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_VIEWDISTANCE,"View distance","Zobrazit vzdálenost","Sichtweite","Widoczność","Видимость","Distance vision","Ver distancia","Distanza visuale"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_SUMA_FORECAST,"Forecast weather:","Předpověď počasí","Wettervorhersage:","Prognozowana pogoda:","Прогноз погоды","Prévisions météo :","Previsión de clima:","Previsioni meteo"
STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_SUMA_CURRENT,"Current weather:","Aktuální počasí","Aktuelles Wetter:","Aktualna pogoda:","STR_DISP_XBOX_EDITOR_WIZARD_WEATHER_SUMA_CURRENT","Météo actuelle :","Clima actual","Meteo attuale"
STR_DISP_XBOX_EDITOR_WIZARD_TIME,"Time&amp;Date","Čas&amp;Datum","Uhrzeit &amp;Datum","Data i czas","Время и дата","Heure &amp; date","Hora&amp;Fecha","Ora &amp;data"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_TITLE,"Time&Date","Čas a datum","Uhrzeit&Datum","Data i czas","Время и дата","Heure & date","Hora&Fecha","Ora & data"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_HOUR,"Hours","Hodiny","Stunden","Godzina","час.","Heures","Horas","Ore"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_MINUTES,"Minutes","Minuty","Minute","Minuta","мин.","Minutes","Minutos","Minuti"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_DAY,"Day","Den","Tag","Dzień","День","Jour","Día","Giorno"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_MONTH,"Month","Měsíc","Monat","Miesiąc","Месяц","Mois","Mes","Mese"
STR_DISP_XBOX_EDITOR_WIZARD_TIME_YEAR,"Year","Rok","Jahr","Rok","Год","Année","Año","Anno"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT_SELECT,"Select Mission Unit","Vybrat jednotku mise","Einsatzeinheit auswählen","Wybór jednostek do misji","Выбрать отряд для задания","Choix unité mission","Seleccionar unidad de misión","Seleziona unità missione"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT_EDIT,"Edit Mission Units","Upravit jednotky mise","Einsatzeinheiten bearbeiten","Edytuj jednostki misji","Редактировать отряд","Modifier unités mission","Editar unidades de misión","Modifica unità missione"
STR_DISP_XBOX_EDITOR_WIZARD_UNIT_COUNT,"Count:","Počet:","Gesamt:","Liczba:","Кол-во:","Décompte :","Conteo:","Conteggio:"
STR_XBOX_WIZARD_EDIT,"Edit Mission Settings","Upravit nastavení mise","Einsatzeinstellungen ändern","Edytuj ustawienia misji","Сменить настройки задания","Modifier paramètres mission","Editar configuración de la misión","Modifica impostazioni missione"
STR_DISP_XBOX_WAYPOINT_TITLE,"Select Waypoint","Vybrat bod cesty","Wegpunkt auswählen","Wybierz punkt nawigacyjny","Выбрать маршрутные точки","Choix point passage","Seleccionar punto de referencia","Seleziona punto di passaggio"
STR_XBOX_GROUP_PLAYER,"Player Squad","Jednotka hráče","Spieler Trupp","Player Squad","Отделение игрока","Groupe du joueur","Pelotón del jugador","Squadra giocatore"
STR_XBOX_GROUP_CHARLIE,"West Attack Squad 2 (Charlie)","BLUFOR útočný oddíl 2 (Charlie)","West Sturmtrupp 2 (Charlie)","West Attack Squad 2 (Charlie)","Западный штурмовой отряд 2 (Чарли)","Groupe attaque Ouest 2 (Charlie)","Pelotón ataque oeste 2 (Charlie)","Squadra d’attacco Ovest 2 (Charlie)"
STR_XBOX_GROUP_EASTATTACK1,"East Attack Squad 1","OPFOR útočný oddíl 1","Ost Sturmtrupp 1","East Attack Squad 1","Восточный штурмовой отряд 1","Groupe attaque Est 1","Pelotón ataque este 1","Squadra d’attacco Est 1"
STR_XBOX_GROUP_EASTATTACK2,"East Attack Squad 2","OPFOR útočný oddíl 2","Ost Sturmtrupp 2","East Attack Squad 2","Восточный штурмовой отряд 2","Groupe attaque Est 2","Pelotón ataque este 2","Squadra d’attacco Est 2"
STR_XBOX_GROUP_WESTDEFEND1,"West Defend Squad 1","BLUFOR obranný oddíl 1","West Verteidigungstrupp 1","West Defend Squad 1","Западный оборонительный отряд 1","Groupe défense Ouest 1","Pelotón defensa oeste 1","Squadra di difesa Ovest 1"
STR_XBOX_GROUP_WESTDEFEND2,"West Defend Squad 2","BLUFOR obranný oddíl 2","West Verteidigungstrupp 2","West Defend Squad 2","Западный оборонительный отряд 2","Groupe défense Ouest 2","Pelotón defensa oeste 2","Squadra di difesa Ovest 2"
STR_XBOX_GROUP_EASTDEFEND1,"East Defend Squad 1","OPFOR obranný oddíl 1","Ost Verteidigungstrupp 1","East Defend Squad 1","Восточный оборонительный отряд 1","Groupe défense Est 1","Pelotón defensa este 1","Squadra di difesa Est 1"
STR_XBOX_GROUP_EASTDEFEND2,"East Defend Squad 2","OPFOR obranný oddíl 2","Ost Verteidigungstrupp 2","East Defend Squad 2","Восточный оборонительный отряд 2","Groupe défense Est 2","Pelotón defensa este 2","Squadra di difesa Est 2"
STR_DISP_XBOX_ROLE_CONQ_ONE_M60,"Lead M60 %s","Velitelská M60 %s","Führungs-M60 %s","Lead M60 %s","Ведущий M60 %s","M60 comm. %s","Líder M60 %s","M60 di comando %s"
STR_DISP_XBOX_ROLE_CONQ_TWO_M60,"M60 2 %s","M60 2 %s","M60 2 %s","M60 2 %s","M60 2 %s","M60 2 %s","M60 2 %s","M60 2 %s"
STR_DISP_XBOX_ROLE_CONQ_THREE_M60,"M60 3 %s","M60 3 %s","M60 3 %s","M60 3 %s","M60 3 %s","M60 3 %s","M60 3 %s","M60 3 %s"
