COMMENT,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_SENT_CONFIRM_MOVE_2,"MOVING ON","PŘESOUVÁM SE","WEITER","W DRODZE","Выдвигаюсь","EN MOUVEMENT","AVANZANDO","IN MOVIMENTO"
STR_SENT_CONFIRM_MOVE_3,"ON THE WAY","ROZKAZ","AUF DEM WEG","IDZIEMY","Уже в пути","EN ROUTE","EN CAMINO","IN CAMMINO"
STR_SENT_CONFIRM_ATTACK_1,"I'M ON HIM","JDU PO NĚM","BIN IHM AUF DER SPUR","ZAJMĘ SIĘ NIM","Он – мой","JE M'OCCUPE DE LUI","ESTOY SOBRE ÉL","SONO SU DI LUI"
STR_SENT_CONFIRM_ATTACK_2,"ROGER","PROVEDU","IN ORDNUNG","ZROZUMIAŁEM","Вас понял","REÇU","RECIBIDO","RICEVUTO"
STR_SENT_CONFIRM_ATTACK_3,"ON THE WAY","JDU NA TO","UNTERWEGS","IDZIEMY","Уже в пути","EN ROUTE","EN CAMINO","IN CAMMINO"
STR_SENT_CONFIRM_OTHER_1,"ROGER","PROVEDU","IN ORDNUNG","ZROZUMIAŁEM","Вас понял","REÇU","RECIBIDO","RICEVUTO"
STR_SENT_VEHICLE_JOIN_1,"MAINTAIN FORMATION","DODRŽUJTE FORMACI","FORMATION BEIBEHALTEN","UTRZYMAĆ SZYK","Поддерживать строй","CONSERVEZ LA FORMATION","MANTENER INFORMACIÓN","MANTENERE FORMAZIONE"
STR_SENT_VEHICLE_MOVE_1,"MOVE TO %1 %2","PŘESUN NA %1 %2","NACH %1 %2 BEWEGEN","RUSZAĆ DO %1 %2","Двигаться в зону: %1 %2!","REJOIGNEZ %1 %2","VE HASTA %1 %2","MUOVERSI VERSO %1 %2"
STR_SENT_VEHICLE_MOVE_2,"GO TO %1 %2","PŘESUN NA %1 %2","NACH %1 %2 GEHEN","RUSZAĆ DO %1 %2","Проследовать в зону: %1 %2!","ALLEZ À %1 %2","VE A %1 %2","ANDARE A %1 %2"
STR_SENT_VEHICLE_FIRE_1,"FIRE AT THAT %1","PAL -  %1","AUF %1 FEUERN","OSTRZELAĆ %1","Огонь по цели: %1 %2!","TIREZ SUR CE(TTE) %1","DISPÁRALE A ESE %1","SPARARE A %1"
STR_SENT_VEHICLE_TARGET_1,"TARGET THAT %1 AT %2","ZAMIŘ NA CÍL %1 NA POZICI %2","ZIEL %1 AUF %2","CELOWAĆ W %1 %2","Ваша цель - %1 в зоне %!","VISEZ CE(TTE) %1 À %2","APUNTA A %1 EN %2","MIRARE %1 A %2"
STR_SENT_VEHICLE_NO_TARGET_1,"NO TARGET","ZRUŠIT MÍŘENÍ","KEIN ZIEL","BRAK CELU","Нет цели","PAS DE CIBLE","SIN OBJETIVO","NESSUN OBIETTIVO"
STR_SENT_VEHICLE_CEASE_FIRE_1,"CEASE FIRE","NESTŘÍLET","FEUER EINSTELLEN","PRZERWAĆ OGIEŃ","Отставить огонь!","HALTE AU FEU","ALTO EL FUEGO","CESSARE IL FUOCO"
STR_SENT_VEHICLE_FORWARD_1,"FORWARD","DOPŘEDU","VORWÄRTS","NAPRZÓD","Вперед","EN AVANT","ADELANTE","IN AVANTI"
STR_SENT_VEHICLE_STOP_1,"HALT","ZASTAVIT","HALT","STAĆ","Стоп","HALTE","PARO","ALT"
STR_SENT_VEHICLE_BACKWARD_1,"REVERSE","COUVAT","RÜCKWÄRTS","DO TYŁU","Задний ход.","EN ARRIÈRE","ATRÁS","INDIETRO"
STR_SENT_VEHICLE_FASTER_1,"FAST","RYCHLE","SCHNELL","SZYBKO","Быстро","VITE","RÁPIDO","VELOCE"
STR_SENT_VEHICLE_SLOWER_1,"SLOW","POMALU","LANGSAM","POWOLI","Медленно","LENTEMENT","LENTO","LENTO"
STR_SENT_VEHICLE_LEFT_1,"LEFT","DOLEVA","LINKS","W LEWO","Налево","À GAUCHE","IZQUIERDA","SINISTRA"
STR_SENT_VEHICLE_RIGHT_1,"RIGHT","DOPRAVA","RECHTS","W PRAWO","Направо","À DROITE","DERECHA","DESTRA"
STR_SENT_VEHICLE_DIRECT_FIRE_1,"FIRE","PAL","FEUER","OGNIA","Огонь","FEU","FUEGO","FUOCO"
STR_SENT_VEHICLE_LOAD_1,"%1","%1","%1","%1","%1","1%","%1","%1"
STR_SENT_VEHICLE_LOAD_MAGAZINE_1,"%1","%1","%1","%1","%1","1%","%1","%1"
STR_SENT_VEHICLE_AZIMUT_1,"%1","%1","%1","%1","%1","1%","%1","%1"
STR_SENT_VEHICLE_WATCH_TGT_1,"WATCH THAT %1, AT %2","SLEDUJTE - %1 NA %2","%1 BEOBACHTEN, AUF %2","UWAGA NA %1, %2","Внимание: %1 %2!","ATENTION À CE(TTE) %1 À %2","VIGILA EL %1, EN %2","ATTENZIONE A %1, A %2"
STR_SENT_VEHICLE_WATCH_POS_1,"WATCH %1 %2","SLEDUJTE %1 %2","%1 BEOBACHTEN, %2","UWAGA %1 %2","Осторожнее: %1 %2!","ATTENTION, %1 %2","VIGILA %1 %2","ATTENZIONE, %1 %2"
STR_SENT_VEHICLE_MANUAL_FIRE_1,"SWITCHING TO MANUAL FIRE","PŘEPÍNÁM NA MANUÁLNÍ STŘELBU","ZU MANUELLEM FEUERN WECHSELN","PRZEŁĄCZAM NA OGIEŃ RĘCZNY","Переключаюсь на ручной режим ведения огня.","PASSAGE EN TIR MANUEL","CAMBIANDO A FUEGO MANUAL","PASSARE A FUOCO MANUALE"
STR_SENT_VEHICLE_CANCEL_MANUAL_FIRE_1,"DISABLING MANUAL FIRE","VYPÍNÁM MANUÁLNÍ STŘELBU","MANUELLES FEUER ABSTELLEN","WYŁĄCZAM OGIEŃ RĘCZNY","Выключаю ручной режим ведения огня.","DÉSACTIVATION TIR MANUEL","DESACTIVANDO FUEGO MANUAL","DISABILITARE FUOCO MANUALE"
STR_SENT_VEHICLE_FIRE_FAILED_1,"NEGATIVE","NEGATIVNÍ","NEGATIV","NIE","Ответ отрицательный.","NÉGATIF","NEGATIVO","NEGATIVO"
STR_SENT_VEHICLE_FIRE_FAILED_2,"CANNOT FIRE","NEMŮŽU STŘÍLET","KANN NICHT FEUERN","NIE MOGĘ STRZELAĆ","Не могу открыть огонь.","TIR IMPOSSIBLE","IMPOSIBLE DISPARAR","NON È POSSIBILE FAR FUOCO"
STR_SENT_CLAUSE_POSITION,"%1 %2","%1 %2","%1 %2","%1 %2","%1 %2","%1 %2","%1 %2","%1 %2"
STR_SENT_CLAUSE_POSITION_NEAR,"THAT %1 AT %2","%1 U %2","%1 BEI %2","TO %1 %2","%1 в зоне %2!","CE(TTE) %1 À %2","%1 EN %2","%1 A %2"
